year,name,fraction,sex
1938,Robert,0.054797,m
1938,Mary,0.049254,f
1938,James,0.052008,m
1938,Barbara,0.03441,f
1938,John,0.044452,m
1938,Patricia,0.024143,f
1938,William,0.037336,m
1938,Betty,0.022344,f
1938,Richard,0.030261,m
1938,Shirley,0.020827,f
1938,Charles,0.0274,m
1938,Carol,0.017018,f
1938,Donald,0.023464,m
1938,Nancy,0.016601,f
1938,David,0.020235,m
1938,Dorothy,0.014324,f
1938,Thomas,0.018812,m
1938,Margaret,0.013431,f
1938,Ronald,0.017858,m
1938,Joan,0.01253,f
1938,George,0.016225,m
1938,Joyce,0.011121,f
1938,Joseph,0.015609,m
1938,Judith,0.009527,f
1938,Edward,0.012803,m
1938,Helen,0.009492,f
1938,Kenneth,0.01267,m
1938,Sandra,0.009465,f
1938,Paul,0.011755,m
1938,Carolyn,0.009274,f
1938,Larry,0.0109,m
1938,Janet,0.008646,f
1938,Jerry,0.01071,m
1938,Elizabeth,0.008587,f
1938,Frank,0.009026,m
1938,Beverly,0.00856,f
1938,Gerald,0.008773,m
1938,Marilyn,0.008538,f
1938,Raymond,0.008563,m
1938,Donna,0.008495,f
1938,Michael,0.007989,m
1938,Ruth,0.008148,f
1938,Gary,0.007795,m
1938,Virginia,0.00812,f
1938,Harold,0.007527,m
1938,Frances,0.007816,f
1938,Billy,0.007257,m
1938,Janice,0.007632,f
1938,Jack,0.007163,m
1938,Doris,0.007539,f
1938,Walter,0.006652,m
1938,Martha,0.007518,f
1938,Bobby,0.006594,m
1938,Jean,0.006802,f
1938,Joe,0.006545,m
1938,Phyllis,0.006698,f
1938,Carl,0.006023,m
1938,Alice,0.006561,f
1938,Henry,0.005772,m
1938,Sharon,0.006347,f
1938,Roger,0.005769,m
1938,Linda,0.006174,f
1938,Arthur,0.005738,m
1938,Ann,0.006124,f
1938,Eugene,0.005379,m
1938,Lois,0.005699,f
1938,Willie,0.005353,m
1938,Norma,0.005579,f
1938,Ralph,0.005297,m
1938,Peggy,0.005557,f
1938,Lawrence,0.005167,m
1938,Gloria,0.00552,f
1938,Albert,0.005098,m
1938,Marie,0.005223,f
1938,Fred,0.005076,m
1938,Evelyn,0.004985,f
1938,Daniel,0.004912,m
1938,Rose,0.004634,f
1938,Wayne,0.004599,m
1938,Anna,0.004503,f
1938,Roy,0.004434,m
1938,Judy,0.004375,f
1938,Howard,0.004415,m
1938,Elaine,0.004236,f
1938,Norman,0.004357,m
1938,Dolores,0.004212,f
1938,Harry,0.004244,m
1938,Jane,0.004194,f
1938,Jimmy,0.004162,m
1938,Geraldine,0.004077,f
1938,Anthony,0.004125,m
1938,Carole,0.004044,f
1938,Louis,0.003864,m
1938,Annie,0.003997,f
1938,Peter,0.00378,m
1938,Catherine,0.003965,f
1938,Dennis,0.003729,m
1938,Wanda,0.003953,f
1938,Earl,0.003527,m
1938,Karen,0.00395,f
1938,Francis,0.003476,m
1938,Marlene,0.003919,f
1938,Don,0.003432,m
1938,Mildred,0.003891,f
1938,Marvin,0.003431,m
1938,Marjorie,0.003782,f
1938,Melvin,0.00336,m
1938,Sally,0.003747,f
1938,Ernest,0.003263,m
1938,Patsy,0.003729,f
1938,Dale,0.003245,m
1938,Sylvia,0.003729,f
1938,Leonard,0.003226,m
1938,Joanne,0.003724,f
1938,Clarence,0.003199,m
1938,Kathleen,0.003705,f
1938,Stanley,0.003117,m
1938,Louise,0.003563,f
1938,Douglas,0.003088,m
1938,Eleanor,0.003548,f
1938,Leroy,0.003073,m
1938,Ruby,0.003453,f
1938,Samuel,0.002856,m
1938,Loretta,0.003426,f
1938,Johnny,0.002813,m
1938,Arlene,0.003409,f
1938,Philip,0.002793,m
1938,Diane,0.003354,f
1938,Gene,0.00277,m
1938,Bonnie,0.003306,f
1938,Bruce,0.002753,m
1938,Rosalie,0.003294,f
1938,Bill,0.00274,m
1938,Sarah,0.003284,f
1938,Herbert,0.002652,m
1938,Joann,0.003249,f
1938,Alfred,0.002646,m
1938,Jacqueline,0.003183,f
1938,Russell,0.002595,m
1938,Charlotte,0.003175,f
1938,Frederick,0.002584,m
1938,Irene,0.003117,f
1938,Ray,0.002536,m
1938,Susan,0.003114,f
1938,Allen,0.002492,m
1938,Roberta,0.003107,f
1938,Stephen,0.002399,m
1938,Rita,0.002941,f
1938,Bernard,0.002388,m
1938,Darlene,0.002908,f
1938,Jimmie,0.00237,m
1938,Delores,0.002907,f
1938,Tommy,0.002346,m
1938,Gail,0.002818,f
1938,Gordon,0.00234,m
1938,Jo,0.002779,f
1938,Eddie,0.002301,m
1938,June,0.002753,f
1938,Lee,0.002267,m
1938,Juanita,0.002742,f
1938,Jim,0.002199,m
1938,Kay,0.002728,f
1938,Andrew,0.002118,m
1938,Edna,0.002701,f
1938,Glenn,0.002085,m
1938,Josephine,0.00261,f
