year,name,fraction,sex
1893,John,0.066499,m
1893,Mary,0.056759,f
1893,William,0.059674,m
1893,Anna,0.025285,f
1893,James,0.041548,m
1893,Ruth,0.016241,f
1893,George,0.035691,m
1893,Margaret,0.015828,f
1893,Charles,0.030758,m
1893,Elizabeth,0.014918,f
1893,Joseph,0.02476,m
1893,Helen,0.014425,f
1893,Frank,0.024099,m
1893,Florence,0.014345,f
1893,Robert,0.021175,m
1893,Ethel,0.013848,f
1893,Edward,0.019076,m
1893,Emma,0.013178,f
1893,Harry,0.018548,m
1893,Bertha,0.011646,f
1893,Henry,0.017862,m
1893,Clara,0.011242,f
1893,Thomas,0.017821,m
1893,Minnie,0.011144,f
1893,Walter,0.016557,m
1893,Alice,0.010807,f
1893,Arthur,0.013508,m
1893,Edna,0.010558,f
1893,Fred,0.012335,m
1893,Bessie,0.010443,f
1893,Albert,0.011178,m
1893,Grace,0.010247,f
1893,Clarence,0.009658,m
1893,Annie,0.009994,f
1893,Roy,0.007593,m
1893,Ida,0.009976,f
1893,Willie,0.007287,m
1893,Marie,0.009821,f
1893,Samuel,0.007031,m
1893,Lillian,0.009737,f
1893,Earl,0.006766,m
1893,Mabel,0.009728,f
1893,Louis,0.006742,m
1893,Hazel,0.009111,f
1893,Ernest,0.006576,m
1893,Rose,0.008933,f
1893,Carl,0.006494,m
1893,Gertrude,0.008041,f
1893,Paul,0.006138,m
1893,Martha,0.008014,f
1893,Richard,0.006048,m
1893,Pearl,0.007974,f
1893,David,0.005981,m
1893,Nellie,0.007859,f
1893,Joe,0.005957,m
1893,Ella,0.007814,f
1893,Raymond,0.005808,m
1893,Myrtle,0.00781,f
1893,Charlie,0.005709,m
1893,Edith,0.007694,f
1893,Ralph,0.005254,m
1893,Laura,0.007472,f
1893,Elmer,0.004742,m
1893,Eva,0.007406,f
1893,Oscar,0.004742,m
1893,Sarah,0.007246,f
1893,Harold,0.004676,m
1893,Frances,0.007201,f
1893,Howard,0.004594,m
1893,Elsie,0.007042,f
1893,Jesse,0.00447,m
1893,Carrie,0.006442,f
1893,Will,0.004445,m
1893,Louise,0.006424,f
1893,Alfred,0.004379,m
1893,Agnes,0.006185,f
1893,Daniel,0.004313,m
1893,Esther,0.006136,f
1893,Andrew,0.004296,m
1893,Julia,0.006069,f
1893,Herbert,0.004288,m
1893,Lillie,0.005998,f
1893,Benjamin,0.003974,m
1893,Catherine,0.005932,f
1893,Sam,0.003974,m
1893,Hattie,0.005838,f
1893,Herman,0.003759,m
1893,Cora,0.005807,f
1893,Leo,0.003701,m
1893,Jennie,0.005652,f
1893,Lee,0.003676,m
1893,Lena,0.005599,f
1893,Frederick,0.003569,m
1893,Mattie,0.005581,f
1893,Francis,0.003453,m
1893,Jessie,0.005399,f
1893,Michael,0.003363,m
1893,Maude,0.005337,f
1893,Jack,0.003354,m
1893,Josephine,0.00523,f
1893,Lawrence,0.003263,m
1893,Irene,0.004933,f
1893,Claude,0.003255,m
1893,Blanche,0.004773,f
1893,Eugene,0.003239,m
1893,Mae,0.004755,f
1893,Peter,0.003239,m
1893,Alma,0.004684,f
1893,Clyde,0.00323,m
1893,Ada,0.004666,f
1893,Ray,0.003123,m
1893,Lucy,0.0046,f
1893,Lewis,0.003007,m
1893,Lula,0.004591,f
1893,Edwin,0.002925,m
1893,Gladys,0.004515,f
1893,Floyd,0.0029,m
1893,Mamie,0.004489,f
1893,Tom,0.002883,m
1893,Mildred,0.004475,f
1893,Martin,0.002867,m
1893,Fannie,0.004453,f
