year,name,fraction,sex
1993,Michael,0.023998,m
1993,Jessica,0.017751,f
1993,Christopher,0.018515,m
1993,Ashley,0.01768,f
1993,Matthew,0.017323,m
1993,Sarah,0.012302,f
1993,Joshua,0.016261,m
1993,Samantha,0.012007,f
1993,Tyler,0.014431,m
1993,Emily,0.01197,f
1993,Brandon,0.013917,m
1993,Brittany,0.011024,f
1993,Daniel,0.013887,m
1993,Taylor,0.010789,f
1993,Nicholas,0.013613,m
1993,Amanda,0.010557,f
1993,Jacob,0.013307,m
1993,Elizabeth,0.008907,f
1993,Andrew,0.013228,m
1993,Stephanie,0.008718,f
1993,David,0.013085,m
1993,Megan,0.008312,f
1993,Joseph,0.013078,m
1993,Lauren,0.008212,f
1993,Ryan,0.012941,m
1993,Nicole,0.008208,f
1993,James,0.012713,m
1993,Rachel,0.008101,f
1993,Zachary,0.012366,m
1993,Jennifer,0.00799,f
1993,John,0.012102,m
1993,Kayla,0.007838,f
1993,Robert,0.01087,m
1993,Amber,0.007135,f
1993,William,0.010755,m
1993,Danielle,0.006589,f
1993,Anthony,0.010551,m
1993,Victoria,0.006556,f
1993,Justin,0.01043,m
1993,Courtney,0.006379,f
1993,Alexander,0.009939,m
1993,Hannah,0.006342,f
1993,Jonathan,0.009659,m
1993,Rebecca,0.006247,f
1993,Kyle,0.00942,m
1993,Jasmine,0.006118,f
1993,Cody,0.009275,m
1993,Kelsey,0.005771,f
1993,Kevin,0.009239,m
1993,Chelsea,0.005728,f
1993,Austin,0.008513,m
1993,Alyssa,0.005596,f
1993,Thomas,0.007196,m
1993,Alexis,0.005495,f
1993,Jordan,0.007144,m
1993,Alexandra,0.005416,f
1993,Eric,0.007043,m
1993,Katherine,0.005331,f
1993,Aaron,0.006696,m
1993,Melissa,0.005186,f
1993,Steven,0.006521,m
1993,Michelle,0.005167,f
1993,Dylan,0.006144,m
1993,Brianna,0.00445,f
1993,Benjamin,0.00614,m
1993,Tiffany,0.004355,f
1993,Brian,0.006075,m
1993,Morgan,0.004348,f
1993,Christian,0.005756,m
1993,Christina,0.004203,f
1993,Jose,0.005734,m
1993,Shelby,0.00412,f
1993,Samuel,0.005667,m
1993,Mary,0.004117,f
1993,Timothy,0.005635,m
1993,Heather,0.004112,f
1993,Adam,0.005584,m
1993,Kimberly,0.004042,f
1993,Richard,0.004953,m
1993,Sara,0.004008,f
1993,Nathan,0.004935,m
1993,Allison,0.00392,f
1993,Sean,0.004928,m
1993,Haley,0.003864,f
1993,Charles,0.004773,m
1993,Laura,0.003681,f
1993,Patrick,0.004773,m
1993,Andrea,0.003671,f
1993,Jason,0.004181,m
1993,Maria,0.003536,f
1993,Jeremy,0.004151,m
1993,Kaitlyn,0.003529,f
1993,Stephen,0.004052,m
1993,Anna,0.003453,f
1993,Jesse,0.004001,m
1993,Erin,0.003407,f
1993,Mark,0.003903,m
1993,Erica,0.003253,f
1993,Travis,0.003844,m
1993,Olivia,0.003216,f
1993,Taylor,0.003723,m
1993,Kelly,0.003195,f
1993,Alex,0.003698,m
1993,Brooke,0.003125,f
1993,Jeffrey,0.00365,m
1993,Shannon,0.00308,f
1993,Cameron,0.003433,m
1993,Katelyn,0.003031,f
1993,Juan,0.003339,m
1993,Vanessa,0.002987,f
1993,Paul,0.003137,m
1993,Lindsey,0.002964,f
1993,Connor,0.003124,m
1993,Crystal,0.002956,f
1993,Luis,0.003102,m
1993,Jordan,0.002955,f
1993,Dustin,0.003055,m
1993,Marissa,0.002854,f
1993,Kenneth,0.00304,m
1993,Paige,0.002848,f
1993,Bryan,0.002982,m
1993,Kristen,0.002806,f
1993,Evan,0.002948,m
1993,Natalie,0.002782,f
1993,Jared,0.002935,m
1993,Katie,0.002767,f
1993,Trevor,0.00291,m
1993,Caitlin,0.002753,f
1993,Gregory,0.002812,m
1993,Amy,0.002751,f
1993,Caleb,0.0028,m
1993,Cassandra,0.00275,f
1993,Derek,0.002787,m
1993,Abigail,0.00263,f
1993,Corey,0.002749,m
1993,Kathryn,0.002581,f
1993,Scott,0.002699,m
1993,Alexandria,0.00255,f
1993,Ian,0.002614,m
1993,Jenna,0.002475,f
1993,Devin,0.002593,m
1993,Briana,0.002475,f
1993,Carlos,0.00259,m
1993,Julia,0.002364,f
1993,Bradley,0.002486,m
1993,Angela,0.002318,f
1993,Marcus,0.00245,m
1993,Jacqueline,0.002291,f
1993,Nathaniel,0.00235,m
1993,Catherine,0.002269,f
1993,Logan,0.002345,m
1993,Alicia,0.002248,f
1993,Shawn,0.002331,m
1993,Brittney,0.002242,f
1993,Edward,0.002318,m
1993,Madison,0.002223,f
1993,Garrett,0.002282,m
1993,Jamie,0.002159,f
1993,Jesus,0.002267,m
1993,Emma,0.002081,f
1993,Mitchell,0.002219,m
1993,Mariah,0.002075,f
1993,Peter,0.002197,m
1993,Whitney,0.002068,f
1993,Blake,0.002182,m
1993,Breanna,0.002043,f
1993,Shane,0.002148,m
1993,Gabrielle,0.002037,f
1993,Dakota,0.002137,m
1993,Erika,0.002034,f
1993,Gabriel,0.002118,m
1993,Monica,0.001979,f
1993,Luke,0.002107,m
1993,Molly,0.001881,f
1993,Miguel,0.002105,m
1993,Lindsay,0.001859,f
1993,Antonio,0.002083,m
1993,Miranda,0.001816,f
1993,Dillon,0.002075,m
1993,Christine,0.001765,f
1993,Victor,0.002037,m
1993,Sierra,0.001762,f
1993,Ethan,0.002015,m
1993,Leah,0.001731,f
