year,name,fraction,sex
1991,Michael,0.028685,m
1991,Ashley,0.021388,f
1991,Christopher,0.022226,m
1991,Jessica,0.021345,f
1991,Matthew,0.019647,m
1991,Brittany,0.014309,f
1991,Joshua,0.019451,m
1991,Amanda,0.014209,f
1991,Andrew,0.014877,m
1991,Samantha,0.012614,f
1991,Daniel,0.014589,m
1991,Sarah,0.012409,f
1991,James,0.014395,m
1991,Stephanie,0.011201,f
1991,David,0.014354,m
1991,Jennifer,0.010168,f
1991,Joseph,0.01408,m
1991,Elizabeth,0.01003,f
1991,John,0.013119,m
1991,Emily,0.009989,f
1991,Ryan,0.012993,m
1991,Megan,0.009481,f
1991,Nicholas,0.012911,m
1991,Kayla,0.009121,f
1991,Robert,0.01266,m
1991,Lauren,0.009055,f
1991,Justin,0.01264,m
1991,Rachel,0.008038,f
1991,Brandon,0.012278,m
1991,Nicole,0.007893,f
1991,Tyler,0.011894,m
1991,Amber,0.007374,f
1991,Jacob,0.011887,m
1991,Danielle,0.006698,f
1991,Anthony,0.011534,m
1991,Chelsea,0.006645,f
1991,William,0.011261,m
1991,Courtney,0.006611,f
1991,Jonathan,0.010841,m
1991,Melissa,0.006563,f
1991,Kyle,0.010198,m
1991,Rebecca,0.00654,f
1991,Zachary,0.010091,m
1991,Michelle,0.006008,f
1991,Kevin,0.009561,m
1991,Heather,0.005755,f
1991,Cody,0.008956,m
1991,Jasmine,0.005668,f
1991,Eric,0.008516,m
1991,Katherine,0.005652,f
1991,Alexander,0.008322,m
1991,Kelsey,0.005623,f
1991,Steven,0.007954,m
1991,Tiffany,0.005488,f
1991,Thomas,0.00792,m
1991,Victoria,0.005368,f
1991,Jordan,0.007556,m
1991,Hannah,0.005295,f
1991,Brian,0.007036,m
1991,Alyssa,0.005251,f
1991,Aaron,0.00672,m
1991,Christina,0.005195,f
1991,Timothy,0.006677,m
1991,Taylor,0.005043,f
1991,Benjamin,0.006546,m
1991,Shelby,0.005026,f
1991,Richard,0.005923,m
1991,Kimberly,0.004821,f
1991,Patrick,0.005858,m
1991,Laura,0.004744,f
1991,Adam,0.005805,m
1991,Alexandra,0.004651,f
1991,Jose,0.00553,m
1991,Sara,0.004351,f
1991,Charles,0.005349,m
1991,Mary,0.004307,f
1991,Samuel,0.005299,m
1991,Andrea,0.003932,f
1991,Sean,0.005274,m
1991,Erica,0.003837,f
1991,Stephen,0.004967,m
1991,Crystal,0.003801,f
1991,Nathan,0.004952,m
1991,Kelly,0.003695,f
1991,Jeremy,0.004907,m
1991,Amy,0.003578,f
