year,name,fraction,sex,rank
1954,Michael,0.042794,m,1
1954,Mary,0.034153,f,1
1954,Robert,0.041718,m,2
1954,Linda,0.027816,f,2
1954,James,0.041718,m,3
1954,Deborah,0.027466,f,3
1954,John,0.039238,m,4
1954,Patricia,0.024682,f,4
1954,David,0.038456,m,5
1954,Susan,0.02369,f,5
1954,William,0.029695,m,6
1954,Debra,0.023048,f,6
1954,Richard,0.027567,m,7
1954,Barbara,0.018273,f,7
1954,Thomas,0.022794,m,8
1954,Karen,0.016304,f,8
1954,Gary,0.018326,m,9
1954,Nancy,0.015201,f,9
1954,Charles,0.018105,m,10
1954,Cynthia,0.013871,f,10
1954,Steven,0.017705,m,11
1954,Donna,0.01378,f,11
1954,Mark,0.017503,m,12
1954,Pamela,0.013746,f,12
1954,Joseph,0.015089,m,13
1954,Sandra,0.013093,f,13
1954,Donald,0.014146,m,14
1954,Kathleen,0.011281,f,14
1954,Ronald,0.013344,m,15
1954,Carol,0.01118,f,15
1954,Paul,0.012682,m,16
1954,Sharon,0.011158,f,16
1954,Kenneth,0.012649,m,17
1954,Diane,0.011074,f,17
1954,Daniel,0.012216,m,18
1954,Brenda,0.009844,f,18
1954,Larry,0.011893,m,19
1954,Janet,0.009273,f,19
1954,Stephen,0.010573,m,20
1954,Elizabeth,0.008329,f,20
1954,Dennis,0.010035,m,21
1954,Margaret,0.007648,f,21
1954,Edward,0.009435,m,22
1954,Cheryl,0.007537,f,22
1954,Jeffrey,0.009208,m,23
1954,Kathy,0.007121,f,23
1954,George,0.009035,m,24
1954,Denise,0.006889,f,24
1954,Gregory,0.008514,m,25
1954,Janice,0.006788,f,25
1954,Timothy,0.008429,m,26
1954,Rebecca,0.006636,f,26
1954,Terry,0.007514,m,27
1954,Carolyn,0.006106,f,27
1954,Kevin,0.00741,m,28
1954,Joyce,0.006073,f,28
1954,Douglas,0.007114,m,29
1954,Judy,0.005842,f,29
1954,Bruce,0.00684,m,30
1954,Judith,0.005624,f,30
1954,Jerry,0.006601,m,31
1954,Beverly,0.005605,f,31
1954,Anthony,0.006352,m,32
1954,Catherine,0.005566,f,32
1954,Randy,0.006105,m,33
1954,Shirley,0.00548,f,33
1954,Roger,0.005658,m,34
1954,Teresa,0.005442,f,34
1954,Raymond,0.005436,m,35
1954,Marilyn,0.005431,f,35
1954,Frank,0.005315,m,36
1954,Betty,0.005332,f,36
1954,Peter,0.004871,m,37
1954,Gail,0.004881,f,37
1954,Patrick,0.004791,m,38
1954,Paula,0.004868,f,38
