year,name,fraction,sex,rank
1930,Robert,0.055022,m,1
1930,Mary,0.054993,f,1
1930,James,0.047763,m,2
1930,Betty,0.032778,f,2
1930,John,0.046427,m,3
1930,Dorothy,0.026069,f,3
1930,William,0.041849,m,4
1930,Helen,0.017071,f,4
1930,Richard,0.02849,m,5
1930,Margaret,0.015733,f,5
1930,Charles,0.028217,m,6
1930,Barbara,0.015671,f,6
1930,Donald,0.025718,m,7
1930,Patricia,0.013503,f,7
1930,George,0.02017,m,8
1930,Joan,0.01327,f,8
1930,Joseph,0.018576,m,9
1930,Doris,0.013259,f,9
1930,Edward,0.015362,m,10
1930,Ruth,0.012805,f,10
1930,Thomas,0.01506,m,11
1930,Shirley,0.012667,f,11
1930,Paul,0.01147,m,12
1930,Virginia,0.011315,f,12
1930,Frank,0.011099,m,13
1930,Dolores,0.011007,f,13
1930,Jack,0.011003,m,14
1930,Jean,0.010275,f,14
1930,David,0.010869,m,15
1930,Elizabeth,0.009427,f,15
1930,Raymond,0.010371,m,16
1930,Frances,0.009126,f,16
1930,Kenneth,0.010362,m,17
1930,Lois,0.008671,f,17
1930,Harold,0.010325,m,18
1930,Joyce,0.00828,f,18
1930,Walter,0.008613,m,19
1930,Evelyn,0.008176,f,19
1930,Billy,0.008221,m,20
1930,Alice,0.008157,f,20
1930,Eugene,0.007994,m,21
1930,Mildred,0.008017,f,21
1930,Henry,0.007608,m,22
1930,Marilyn,0.007962,f,22
1930,Arthur,0.007335,m,23
1930,Anna,0.007783,f,23
1930,Albert,0.007034,m,24
1930,Nancy,0.007775,f,24
1930,Ralph,0.006759,m,25
1930,Norma,0.007297,f,25
1930,Carl,0.006155,m,26
1930,Marie,0.007223,f,26
1930,Joe,0.006088,m,27
1930,Martha,0.006714,f,27
1930,Harry,0.006063,m,28
1930,Phyllis,0.006661,f,28
1930,Willie,0.005902,m,29
1930,Rose,0.006592,f,29
1930,Gerald,0.005739,m,30
1930,Gloria,0.00652,f,30
1930,Howard,0.005616,m,31
1930,Louise,0.005952,f,31
1930,Fred,0.005354,m,32
1930,Marjorie,0.005686,f,32
1930,Roy,0.00524,m,33
1930,Irene,0.005541,f,33
1930,Louis,0.005144,m,34
1930,Beverly,0.005534,f,34
1930,Herbert,0.005022,m,35
1930,Catherine,0.005397,f,35
1930,Lawrence,0.004991,m,36
1930,Ruby,0.005138,f,36
1930,Ronald,0.004991,m,37
1930,Donna,0.005126,f,37
1930,Earl,0.004926,m,38
1930,Florence,0.005029,f,38
1930,Clarence,0.004866,m,39
1930,Eleanor,0.004992,f,39
1930,Norman,0.004687,m,40
1930,Annie,0.004934,f,40
1930,Bobby,0.004589,m,41
1930,Ann,0.004742,f,41
1930,Francis,0.004418,m,42
1930,Rita,0.004688,f,42
1930,Ernest,0.004238,m,43
1930,Lillian,0.004671,f,43
1930,Anthony,0.00414,m,44
1930,Geraldine,0.00467,f,44
1930,Leonard,0.004126,m,45
1930,Thelma,0.0045,f,45
1930,Alfred,0.004034,m,46
1930,Lorraine,0.004429,f,46
1930,Daniel,0.003952,m,47
1930,June,0.004367,f,47
1930,Marvin,0.003897,m,48
1930,Gladys,0.004343,f,48
1930,Stanley,0.003879,m,49
1930,Josephine,0.004276,f,49
1930,Melvin,0.003584,m,50
1930,Theresa,0.0041,f,50
1930,Jerry,0.003445,m,51
1930,Edna,0.004084,f,51
1930,Bernard,0.003392,m,52
1930,Pauline,0.003991,f,52
1930,Leroy,0.003368,m,53
1930,Janet,0.003944,f,53
1930,Michael,0.003137,m,54
1930,Carol,0.003941,f,54
