year,name,fraction,sex,rank
1984,Michael,0.036095,m,1
1984,Jennifer,0.028039,f,1
1984,Christopher,0.031986,m,2
1984,Jessica,0.025431,f,2
1984,Matthew,0.026523,m,3
1984,Ashley,0.021502,f,3
1984,Joshua,0.021456,m,4
1984,Amanda,0.018804,f,4
1984,David,0.020508,m,5
1984,Sarah,0.014354,f,5
1984,Daniel,0.019467,m,6
1984,Stephanie,0.012767,f,6
1984,James,0.01911,m,7
1984,Nicole,0.01235,f,7
1984,John,0.017385,m,8
1984,Melissa,0.012142,f,8
1984,Robert,0.016929,m,9
1984,Heather,0.011918,f,9
1984,Joseph,0.01626,m,10
1984,Elizabeth,0.011292,f,10
1984,Jason,0.015961,m,11
1984,Megan,0.009416,f,11
1984,Ryan,0.015311,m,12
1984,Crystal,0.009185,f,12
1984,Justin,0.014266,m,13
1984,Amy,0.008868,f,13
1984,Andrew,0.013815,m,14
1984,Tiffany,0.008795,f,14
1984,Brandon,0.013682,m,15
1984,Rachel,0.008784,f,15
1984,William,0.013271,m,16
1984,Danielle,0.00869,f,16
1984,Brian,0.013177,m,17
1984,Michelle,0.008595,f,17
1984,Adam,0.012756,m,18
1984,Amber,0.008524,f,18
1984,Jonathan,0.012439,m,19
1984,Laura,0.008218,f,19
1984,Nicholas,0.0112,m,20
1984,Christina,0.008155,f,20
1984,Anthony,0.011168,m,21
1984,Lauren,0.008028,f,21
1984,Eric,0.011166,m,22
1984,Kimberly,0.00801,f,22
1984,Steven,0.009707,m,23
1984,Rebecca,0.007401,f,23
1984,Kevin,0.009519,m,24
1984,Emily,0.00709,f,24
1984,Thomas,0.009377,m,25
1984,Erin,0.006999,f,25
1984,Timothy,0.009055,m,26
1984,Angela,0.006263,f,26
1984,Richard,0.008314,m,27
1984,Kelly,0.006221,f,27
1984,Jeffrey,0.007865,m,28
1984,Andrea,0.005739,f,28
1984,Aaron,0.007143,m,29
1984,Lisa,0.005677,f,29
1984,Benjamin,0.007069,m,30
1984,Katherine,0.005634,f,30
1984,Jeremy,0.007063,m,31
1984,Jamie,0.005414,f,31
1984,Mark,0.007043,m,32
1984,Sara,0.005166,f,32
1984,Charles,0.006895,m,33
1984,Mary,0.005153,f,33
1984,Kyle,0.006685,m,34
1984,Erica,0.005145,f,34
1984,Stephen,0.006445,m,35
1984,Lindsey,0.004995,f,35
1984,Patrick,0.006141,m,36
1984,Lindsay,0.004719,f,36
1984,Jacob,0.00605,m,37
1984,Shannon,0.004701,f,37
1984,Nathan,0.005658,m,38
1984,Kristen,0.00465,f,38
1984,Scott,0.005638,m,39
1984,Samantha,0.004456,f,39
1984,Paul,0.005574,m,40
1984,Alicia,0.004337,f,40
1984,Dustin,0.00554,m,41
1984,Brittany,0.004252,f,41
1984,Travis,0.00546,m,42
1984,April,0.004195,f,42
1984,Sean,0.005339,m,43
1984,Christine,0.004048,f,43
1984,Gregory,0.005162,m,44
1984,Katie,0.003978,f,44
1984,Zachary,0.004833,m,45
1984,Vanessa,0.003968,f,45
1984,Kenneth,0.004683,m,46
1984,Courtney,0.003965,f,46
1984,Tyler,0.00464,m,47
1984,Kristin,0.003886,f,47
1984,Bryan,0.004405,m,48
1984,Kathryn,0.003627,f,48
1984,Jose,0.004267,m,49
1984,Tara,0.003484,f,49
1984,Jesse,0.004054,m,50
1984,Maria,0.0034,f,50
1984,Chad,0.003764,m,51
1984,Allison,0.003348,f,51
1984,Derek,0.003714,m,52
1984,Julie,0.003294,f,52
1984,Bradley,0.003502,m,53
1984,Holly,0.003287,f,53
1984,Alexander,0.003461,m,54
1984,Jenna,0.003261,f,54
1984,Samuel,0.003391,m,55
1984,Natalie,0.003082,f,55
1984,Shawn,0.003223,m,56
1984,Jacqueline,0.003077,f,56
1984,Marcus,0.003194,m,57
1984,Anna,0.002943,f,57
1984,Edward,0.003151,m,58
1984,Monica,0.002845,f,58
1984,Jared,0.003028,m,59
1984,Victoria,0.002817,f,59
1984,Peter,0.003004,m,60
1984,Latoya,0.002801,f,60
1984,Keith,0.002839,m,61
1984,Brandi,0.002688,f,61
1984,Cody,0.002773,m,62
1984,Cynthia,0.002564,f,62
1984,Donald,0.002698,m,63
1984,Cassandra,0.00254,f,63
1984,Juan,0.002473,m,64
1984,Brandy,0.002539,f,64
1984,Jordan,0.002419,m,65
1984,Meghan,0.002498,f,65
1984,Joel,0.002411,m,66
1984,Patricia,0.002481,f,66
1984,Ronald,0.002401,m,67
1984,Stacy,0.002466,f,67
1984,George,0.002276,m,68
1984,Kristina,0.0024,f,68
1984,Corey,0.002262,m,69
1984,Catherine,0.00235,f,69
1984,Phillip,0.002255,m,70
1984,Veronica,0.002224,f,70
1984,Douglas,0.002209,m,71
1984,Kathleen,0.002211,f,71
1984,Brett,0.002182,m,72
1984,Diana,0.002198,f,72
1984,Raymond,0.002119,m,73
1984,Dana,0.002184,f,73
1984,Carlos,0.002112,m,74
1984,Krystal,0.002181,f,74
1984,Craig,0.002109,m,75
1984,Leslie,0.002116,f,75
1984,Gary,0.002106,m,76
1984,Valerie,0.002064,f,76
1984,Antonio,0.002068,m,77
1984,Natasha,0.002056,f,77
1984,Ian,0.002021,m,78
1984,Carrie,0.002047,f,78
1984,Derrick,0.001952,m,79
1984,Stacey,0.002023,f,79
1984,Nathaniel,0.001919,m,80
1984,Sheena,0.001995,f,80
1984,Philip,0.001878,m,81
1984,Erika,0.001964,f,81
1984,Casey,0.001873,m,82
1984,Karen,0.001962,f,82
1984,Cory,0.001869,m,83
1984,Leah,0.00196,f,83
1984,Erik,0.001822,m,84
1984,Chelsea,0.001958,f,84
1984,Shane,0.001776,m,85
1984,Melanie,0.00195,f,85
1984,Frank,0.001773,m,86
1984,Candice,0.001882,f,86
1984,Gabriel,0.001772,m,87
1984,Julia,0.001863,f,87
1984,Luis,0.001739,m,88
1984,Joanna,0.001846,f,88
1984,Brent,0.001698,m,89
1984,Alexis,0.001826,f,89
1984,Victor,0.001694,m,90
1984,Susan,0.001727,f,90
1984,Larry,0.001654,m,91
1984,Tracy,0.001692,f,91
1984,Todd,0.001654,m,92
1984,Margaret,0.001686,f,92
1984,Alex,0.001613,m,93
1984,Bethany,0.001656,f,93
1984,Jeffery,0.001612,m,94
1984,Sandra,0.001597,f,94
1984,Vincent,0.001586,m,95
1984,Kara,0.001583,f,95
1984,Curtis,0.001575,m,96
1984,Alexandra,0.001561,f,96
1984,Dennis,0.001573,m,97
1984,Nichole,0.001556,f,97
1984,Evan,0.001565,m,98
1984,Misty,0.001548,f,98
1984,Seth,0.001552,m,99
1984,Brooke,0.001525,f,99
1984,Randy,0.00155,m,100
1984,Kayla,0.001487,f,100
1984,Wesley,0.001492,m,101
1984,Candace,0.001481,f,101
1984,Jeremiah,0.00148,m,102
1984,Heidi,0.001481,f,102
1984,Blake,0.001472,m,103
1984,Rachael,0.001471,f,103
1984,Christian,0.001452,m,104
