year,name,fraction,sex,rank
1887,John,0.074192,m,1
1887,Mary,0.06362,f,1
1887,William,0.068337,m,2
1887,Anna,0.027197,f,2
1887,James,0.043619,m,3
1887,Elizabeth,0.01725,f,3
1887,George,0.039191,m,4
1887,Emma,0.017031,f,4
1887,Charles,0.036876,m,5
1887,Margaret,0.015564,f,5
1887,Frank,0.026374,m,6
1887,Minnie,0.014251,f,6
1887,Joseph,0.022468,m,7
1887,Bertha,0.013106,f,7
1887,Henry,0.020382,m,8
1887,Clara,0.012765,f,8
1887,Thomas,0.019678,m,9
1887,Florence,0.012636,f,9
1887,Edward,0.01944,m,10
1887,Ida,0.012411,f,10
1887,Robert,0.01944,m,11
1887,Ethel,0.01227,f,11
1887,Harry,0.018818,m,12
1887,Annie,0.011864,f,12
1887,Walter,0.015589,m,13
1887,Bessie,0.011826,f,13
1887,Arthur,0.013622,m,14
1887,Alice,0.011704,f,14
1887,Fred,0.013301,m,15
1887,Grace,0.010886,f,15
1887,Albert,0.011838,m,16
1887,Ella,0.009786,f,16
1887,Clarence,0.00816,m,17
1887,Martha,0.009677,f,17
1887,Samuel,0.007337,m,18
1887,Mabel,0.009612,f,18
1887,Louis,0.007236,m,19
1887,Nellie,0.009374,f,19
1887,Roy,0.006642,m,20
1887,Sarah,0.009239,f,20
1887,Joe,0.006267,m,21
1887,Helen,0.00904,f,21
1887,David,0.006157,m,22
1887,Laura,0.008776,f,22
1887,Ernest,0.005974,m,23
1887,Carrie,0.008647,f,23
1887,Charlie,0.005873,m,24
1887,Edna,0.008615,f,24
1887,Richard,0.00569,m,25
1887,Pearl,0.008467,f,25
1887,Jesse,0.005498,m,26
1887,Lillian,0.008416,f,26
1887,Willie,0.005397,m,27
1887,Cora,0.008088,f,27
1887,Carl,0.005379,m,28
1887,Gertrude,0.008049,f,28
1887,Oscar,0.005251,m,29
1887,Edith,0.007998,f,29
1887,Will,0.005132,m,30
1887,Rose,0.007991,f,30
1887,Daniel,0.005086,m,31
1887,Maude,0.007476,f,31
1887,Earl,0.004913,m,32
1887,Hattie,0.007303,f,32
1887,Andrew,0.004757,m,33
1887,Eva,0.007238,f,33
1887,Benjamin,0.004327,m,34
1887,Frances,0.00711,f,34
1887,Alfred,0.004281,m,35
1887,Louise,0.007,f,35
1887,Elmer,0.004272,m,36
1887,Myrtle,0.006994,f,36
1887,Frederick,0.004245,m,37
1887,Lillie,0.006897,f,37
1887,Ralph,0.004236,m,38
1887,Jennie,0.006736,f,38
1887,Sam,0.004236,m,39
1887,Julia,0.006711,f,39
1887,Paul,0.004108,m,40
1887,Mattie,0.006634,f,40
1887,Herbert,0.004071,m,41
1887,Jessie,0.006511,f,41
1887,Howard,0.003925,m,42
1887,Lena,0.00646,f,42
1887,Peter,0.003851,m,43
1887,Marie,0.006395,f,43
1887,Lee,0.003659,m,44
1887,Catherine,0.006222,f,44
1887,Herman,0.003604,m,45
1887,Ada,0.005855,f,45
1887,Claude,0.003431,m,46
1887,Agnes,0.005765,f,46
1887,Raymond,0.003403,m,47
1887,Lula,0.005733,f,47
1887,Michael,0.003147,m,48
1887,Dora,0.005417,f,48
1887,Lewis,0.003138,m,49
1887,Elsie,0.00536,f,49
1887,Jim,0.003101,m,50
1887,Josephine,0.005244,f,50
1887,Martin,0.003028,m,51
1887,Lucy,0.005218,f,51
1887,Tom,0.00301,m,52
1887,Fannie,0.005134,f,52
1887,Eugene,0.002991,m,53
1887,Katherine,0.005109,f,53
1887,Francis,0.002991,m,54
1887,Blanche,0.004909,f,54
1887,Clyde,0.002927,m,55
1887,Maggie,0.004761,f,55
1887,Jacob,0.0029,m,56
1887,Nora,0.004729,f,56
1887,Edwin,0.002836,m,57
1887,Mamie,0.004607,f,57
1887,Ben,0.00279,m,58
1887,Mae,0.004375,f,58
1887,Grover,0.002653,m,59
1887,Stella,0.004272,f,59
1887,Lawrence,0.002589,m,60
1887,Rosa,0.00424,f,60
1887,Harold,0.002552,m,61
1887,May,0.004169,f,61
1887,Ed,0.002516,m,62
1887,Ruth,0.004034,f,62
1887,Luther,0.002443,m,63
1887,Alma,0.004008,f,63
1887,Edgar,0.002433,m,64
1887,Effie,0.003957,f,64
1887,Harvey,0.002397,m,65
1887,Nettie,0.003828,f,65
1887,Ray,0.00236,m,66
1887,Ellen,0.003725,f,66
1887,Otto,0.002314,m,67
1887,Daisy,0.003423,f,67
1887,Jack,0.002296,m,68
1887,Lizzie,0.003378,f,68
1887,Hugh,0.002287,m,69
1887,Sallie,0.003378,f,69
1887,Homer,0.002269,m,70
1887,Sadie,0.003339,f,70
