year,name,fraction,sex,rank
1880,John,0.081546,m,1
1880,Mary,0.072384,f,1
1880,William,0.080499,m,2
1880,Anna,0.026679,f,2
1880,James,0.05006,m,3
1880,Emma,0.020522,f,3
1880,Charles,0.045169,m,4
1880,Elizabeth,0.019866,f,4
1880,George,0.043294,m,5
1880,Minnie,0.017889,f,5
1880,Frank,0.027382,m,6
1880,Margaret,0.016167,f,6
1880,Joseph,0.02223,m,7
1880,Ida,0.015081,f,7
1880,Thomas,0.021402,m,8
1880,Alice,0.014487,f,8
1880,Henry,0.020642,m,9
1880,Bertha,0.013524,f,9
1880,Robert,0.020397,m,10
1880,Sarah,0.013196,f,10
1880,Edward,0.019966,m,11
1880,Annie,0.012889,f,11
1880,Harry,0.018176,m,12
1880,Clara,0.012561,f,12
1880,Walter,0.014823,m,13
1880,Ella,0.011844,f,13
1880,Arthur,0.013505,m,14
1880,Florence,0.010891,f,14
1880,Fred,0.013252,m,15
1880,Cora,0.010707,f,15
1880,Albert,0.01261,m,16
1880,Martha,0.010655,f,16
1880,Samuel,0.008649,m,17
1880,Laura,0.010368,f,17
1880,David,0.00734,m,18
1880,Nellie,0.010194,f,18
1880,Louis,0.006993,m,19
1880,Grace,0.010061,f,19
1880,Joe,0.006174,m,20
1880,Carrie,0.009723,f,20
1880,Charlie,0.006166,m,21
1880,Maude,0.008791,f,21
1880,Clarence,0.006166,m,22
1880,Mabel,0.008278,f,22
1880,Richard,0.006149,m,23
1880,Bessie,0.008155,f,23
1880,Andrew,0.005439,m,24
1880,Jennie,0.008125,f,24
1880,Daniel,0.005431,m,25
1880,Gertrude,0.008063,f,25
1880,Ernest,0.005194,m,26
1880,Julia,0.008022,f,26
1880,Will,0.004966,m,27
1880,Hattie,0.007879,f,27
1880,Jesse,0.004806,m,28
1880,Edith,0.007869,f,28
1880,Oscar,0.004595,m,29
1880,Mattie,0.007213,f,29
1880,Lewis,0.004367,m,30
1880,Rose,0.007172,f,30
1880,Peter,0.004189,m,31
1880,Catherine,0.007049,f,31
1880,Benjamin,0.004139,m,32
1880,Lillian,0.006885,f,32
1880,Frederick,0.004079,m,33
1880,Ada,0.00668,f,33
1880,Willie,0.00402,m,34
1880,Lillie,0.006629,f,34
1880,Alfred,0.003961,m,35
1880,Helen,0.006516,f,35
1880,Sam,0.00386,m,36
1880,Jessie,0.006506,f,36
1880,Roy,0.003716,m,37
1880,Louise,0.006506,f,37
1880,Herbert,0.003581,m,38
1880,Ethel,0.006485,f,38
1880,Jacob,0.003412,m,39
1880,Lula,0.006362,f,39
1880,Tom,0.00337,m,40
1880,Myrtle,0.006301,f,40
1880,Elmer,0.00315,m,41
1880,Eva,0.006291,f,41
1880,Carl,0.003142,m,42
1880,Frances,0.006199,f,42
1880,Lee,0.003049,m,43
1880,Lena,0.006178,f,43
1880,Howard,0.003015,m,44
1880,Lucy,0.006045,f,44
1880,Martin,0.003015,m,45
1880,Edna,0.006024,f,45
1880,Michael,0.00299,m,46
1880,Maggie,0.005963,f,46
1880,Bert,0.002939,m,47
1880,Pearl,0.00583,f,47
1880,Herman,0.002931,m,48
1880,Daisy,0.005778,f,48
1880,Jim,0.002914,m,49
1880,Fannie,0.005737,f,49
1880,Francis,0.002905,m,50
1880,Josephine,0.005574,f,50
1880,Harvey,0.002905,m,51
1880,Dora,0.005369,f,51
1880,Earl,0.002829,m,52
1880,Rosa,0.005194,f,52
1880,Eugene,0.00277,m,53
1880,Katherine,0.005143,f,53
1880,Ralph,0.002677,m,54
1880,Agnes,0.004846,f,54
1880,Ed,0.002618,m,55
1880,Marie,0.004826,f,55
1880,Claude,0.00261,m,56
1880,Nora,0.004826,f,56
1880,Edwin,0.00261,m,57
1880,May,0.004733,f,57
1880,Ben,0.002576,m,58
1880,Mamie,0.004467,f,58
1880,Charley,0.002576,m,59
1880,Blanche,0.004375,f,59
1880,Paul,0.002542,m,60
1880,Stella,0.004242,f,60
1880,Edgar,0.00239,m,61
1880,Ellen,0.004211,f,61
1880,Isaac,0.002314,m,62
1880,Nancy,0.004201,f,62
1880,Otto,0.002289,m,63
1880,Effie,0.00416,f,63
1880,Luther,0.002196,m,64
1880,Sallie,0.004139,f,64
1880,Lawrence,0.002171,m,65
1880,Nettie,0.004129,f,65
1880,Ira,0.002103,m,66
1880,Della,0.004006,f,66
1880,Patrick,0.002095,m,67
1880,Lizzie,0.003975,f,67
1880,Guy,0.002019,m,68
1880,Flora,0.00374,f,68
1880,Oliver,0.001976,m,69
1880,Susie,0.003699,f,69
1880,Theodore,0.001959,m,70
1880,Maud,0.003535,f,70
1880,Hugh,0.001892,m,71
1880,Mae,0.003524,f,71
1880,Clyde,0.001867,m,72
1880,Etta,0.003309,f,72
1880,Alexander,0.001782,m,73
1880,Harriet,0.003268,f,73
1880,August,0.001774,m,74
1880,Sadie,0.003248,f,74
1880,Floyd,0.00174,m,75
1880,Caroline,0.003135,f,75
1880,Homer,0.001731,m,76
1880,Katie,0.003104,f,76
1880,Jack,0.001723,m,77
1880,Lydia,0.003094,f,77
1880,Leonard,0.001689,m,78
1880,Elsie,0.003084,f,78
1880,Horace,0.001681,m,79
1880,Kate,0.003063,f,79
1880,Marion,0.001596,m,80
1880,Susan,0.00293,f,80
1880,Philip,0.001571,m,81
1880,Mollie,0.002899,f,81
1880,Allen,0.001554,m,82
1880,Alma,0.002838,f,82
1880,Archie,0.001546,m,83
1880,Addie,0.002807,f,83
1880,Stephen,0.001486,m,84
1880,Georgia,0.002654,f,84
1880,Chester,0.001419,m,85
1880,Eliza,0.002582,f,85
1880,Willis,0.001402,m,86
1880,Lulu,0.002551,f,86
1880,Raymond,0.001394,m,87
1880,Nannie,0.002541,f,87
1880,Rufus,0.001377,m,88
1880,Lottie,0.00251,f,88
1880,Warren,0.001334,m,89
1880,Amanda,0.002469,f,89
1880,Jessie,0.001301,m,90
1880,Belle,0.002438,f,90
1880,Milton,0.001258,m,91
1880,Charlotte,0.002428,f,91
1880,Alex,0.001242,m,92
1880,Rebecca,0.002418,f,92
1880,Leo,0.001242,m,93
1880,Ruth,0.002397,f,93
1880,Julius,0.001208,m,94
1880,Viola,0.002346,f,94
1880,Ray,0.001199,m,95
1880,Olive,0.002295,f,95
1880,Sidney,0.001199,m,96
1880,Amelia,0.002264,f,96
1880,Bernard,0.001182,m,97
1880,Hannah,0.002264,f,97
1880,Dan,0.001182,m,98
1880,Jane,0.002203,f,98
1880,Jerry,0.001149,m,99
1880,Virginia,0.002182,f,99
1880,Calvin,0.001132,m,100
1880,Emily,0.002152,f,100
1880,Perry,0.001132,m,101
1880,Matilda,0.002152,f,101
1880,Dave,0.001106,m,102
1880,Irene,0.00209,f,102
1880,Anthony,0.001098,m,103
1880,Kathryn,0.00209,f,103
1880,Eddie,0.00109,m,104
1880,Esther,0.002029,f,104
1880,Amos,0.001081,m,105
1880,Willie,0.001967,f,105
1880,Dennis,0.001081,m,106
1880,Henrietta,0.001957,f,106
1880,Clifford,0.001073,m,107
1880,Ollie,0.001875,f,107
1880,Leroy,0.001047,m,108
1880,Amy,0.001711,f,108
1880,Wesley,0.001039,m,109
1880,Rachel,0.001701,f,109
1880,Alonzo,0.00103,m,110
1880,Sara,0.001691,f,110
1880,Garfield,0.00103,m,111
1880,Estella,0.00166,f,111
1880,Franklin,0.001014,m,112
1880,Theresa,0.001568,f,112
1880,Emil,0.001005,m,113
1880,Augusta,0.001547,f,113
1880,Leon,0.000997,m,114
1880,Ora,0.001527,f,114
1880,Nathan,0.000963,m,115
1880,Pauline,0.001475,f,115
1880,Harold,0.000954,m,116
1880,Josie,0.001445,f,116
1880,Matthew,0.000954,m,117
1880,Lola,0.001414,f,117
1880,Levi,0.000946,m,118
1880,Sophia,0.001414,f,118
1880,Moses,0.000938,m,119
1880,Leona,0.001404,f,119
1880,Everett,0.000929,m,120
1880,Anne,0.001393,f,120
1880,Lester,0.000921,m,121
1880,Mildred,0.001352,f,121
1880,Winfield,0.000912,m,122
1880,Ann,0.001342,f,122
1880,Adam,0.000878,m,123
1880,Beulah,0.001342,f,123
1880,Lloyd,0.000878,m,124
1880,Callie,0.001342,f,124
1880,Mack,0.000878,m,125
1880,Lou,0.001342,f,125
1880,Fredrick,0.00087,m,126
1880,Delia,0.001322,f,126
1880,Jay,0.00087,m,127
1880,Eleanor,0.001322,f,127
1880,Jess,0.00087,m,128
1880,Barbara,0.001301,f,128
1880,Melvin,0.00087,m,129
1880,Iva,0.001301,f,129
1880,Noah,0.00087,m,130
1880,Louisa,0.001291,f,130
1880,Aaron,0.000861,m,131
1880,Maria,0.001281,f,131
1880,Alvin,0.000861,m,132
1880,Mayme,0.00127,f,132
1880,Norman,0.000861,m,133
1880,Evelyn,0.00125,f,133
1880,Gilbert,0.000853,m,134
1880,Estelle,0.001219,f,134
1880,Elijah,0.000845,m,135
1880,Nina,0.001219,f,135
1880,Victor,0.000845,m,136
1880,Betty,0.001199,f,136
1880,Gus,0.000836,m,137
1880,Marion,0.001178,f,137
1880,Nelson,0.000836,m,138
1880,Bettie,0.001158,f,138
1880,Jasper,0.000828,m,139
1880,Dorothy,0.001147,f,139
1880,Silas,0.000828,m,140
1880,Luella,0.001137,f,140
1880,Jake,0.000811,m,141
1880,Inez,0.001086,f,141
1880,Christopher,0.000802,m,142
1880,Lela,0.001086,f,142
1880,Mike,0.000802,m,143
1880,Rosie,0.001086,f,143
1880,Percy,0.000794,m,144
1880,Allie,0.001076,f,144
1880,Adolph,0.000785,m,145
1880,Millie,0.001076,f,145
1880,Maurice,0.000785,m,146
1880,Janie,0.000984,f,146
1880,Cornelius,0.000777,m,147
1880,Cornelia,0.000963,f,147
1880,Felix,0.000777,m,148
1880,Victoria,0.000953,f,148
1880,Reuben,0.000777,m,149
1880,Ruby,0.000943,f,149
1880,Wallace,0.000769,m,150
1880,Winifred,0.000943,f,150
1880,Claud,0.00076,m,151
1880,Alta,0.000932,f,151
1880,Roscoe,0.00076,m,152
1880,Celia,0.000922,f,152
1880,Sylvester,0.000752,m,153
1880,Christine,0.000912,f,153
1880,Earnest,0.000743,m,154
1880,Beatrice,0.000891,f,154
1880,Hiram,0.000743,m,155
1880,Birdie,0.000871,f,155
1880,Otis,0.000743,m,156
1880,Harriett,0.00085,f,156
1880,Simon,0.000743,m,157
1880,Mable,0.00085,f,157
1880,Willard,0.000743,m,158
1880,Myra,0.00085,f,158
1880,Irvin,0.000726,m,159
1880,Sophie,0.00085,f,159
1880,Mark,0.000718,m,160
1880,Tillie,0.00085,f,160
1880,Jose,0.000709,m,161
1880,Isabel,0.00083,f,161
1880,Wilbur,0.000693,m,162
1880,Sylvia,0.00083,f,162
1880,Abraham,0.000684,m,163
1880,Carolyn,0.00082,f,163
1880,Virgil,0.000684,m,164
1880,Isabelle,0.00082,f,164
1880,Clinton,0.000667,m,165
1880,Leila,0.00082,f,165
1880,Elbert,0.000667,m,166
1880,Sally,0.00082,f,166
1880,Leslie,0.000667,m,167
1880,Ina,0.000809,f,167
1880,Marshall,0.000659,m,168
1880,Essie,0.000799,f,168
1880,Owen,0.000659,m,169
1880,Bertie,0.000789,f,169
1880,Wiley,0.000659,m,170
1880,Nell,0.000789,f,170
1880,Anton,0.00065,m,171
1880,Alberta,0.000779,f,171
1880,Morris,0.00065,m,172
1880,Katharine,0.000779,f,172
1880,Manuel,0.000633,m,173
1880,Lora,0.000758,f,173
1880,Phillip,0.000633,m,174
1880,Rena,0.000758,f,174
1880,Augustus,0.000625,m,175
1880,Mina,0.000748,f,175
1880,Emmett,0.000625,m,176
1880,Rhoda,0.000748,f,176
1880,Eli,0.000617,m,177
1880,Mathilda,0.000738,f,177
1880,Nicholas,0.000617,m,178
1880,Abbie,0.000727,f,178
1880,Wilson,0.000608,m,179
1880,Eula,0.000717,f,179
1880,Alva,0.000591,m,180
1880,Dollie,0.000707,f,180
1880,Harley,0.000591,m,181
1880,Hettie,0.000707,f,181
1880,Newton,0.000591,m,182
1880,Eunice,0.000686,f,182
1880,Timothy,0.000591,m,183
1880,Fanny,0.000686,f,183
1880,Marvin,0.000583,m,184
1880,Ola,0.000686,f,184
1880,Ross,0.000583,m,185
1880,Lenora,0.000676,f,185
1880,Curtis,0.000574,m,186
1880,Adelaide,0.000666,f,186
1880,Edmund,0.000566,m,187
1880,Christina,0.000666,f,187
1880,Jeff,0.000557,m,188
1880,Lelia,0.000666,f,188
1880,Elias,0.000549,m,189
1880,Nelle,0.000666,f,189
1880,Harrison,0.000549,m,190
1880,Sue,0.000666,f,190
1880,Stanley,0.000549,m,191
1880,Johanna,0.000656,f,191
1880,Columbus,0.000541,m,192
1880,Lilly,0.000656,f,192
1880,Lon,0.000541,m,193
1880,Lucinda,0.000645,f,193
1880,Ora,0.000541,m,194
1880,Minerva,0.000645,f,194
1880,Ollie,0.000532,m,195
1880,Lettie,0.000635,f,195
1880,Pearl,0.000524,m,196
1880,Roxie,0.000635,f,196
1880,Russell,0.000524,m,197
1880,Cynthia,0.000625,f,197
1880,Solomon,0.000524,m,198
1880,Helena,0.000615,f,198
1880,Arch,0.000515,m,199
1880,Hilda,0.000615,f,199
1880,Asa,0.000507,m,200
1880,Hulda,0.000615,f,200
1880,Clayton,0.000507,m,201
1880,Bernice,0.000604,f,201
1880,Enoch,0.000507,m,202
1880,Genevieve,0.000604,f,202
1880,Irving,0.000507,m,203
1880,Jean,0.000604,f,203
1880,Mathew,0.000507,m,204
1880,Cordelia,0.000594,f,204
1880,Nathaniel,0.000507,m,205
1880,Marian,0.000574,f,205
1880,Scott,0.000507,m,206
1880,Francis,0.000564,f,206
1880,Hubert,0.000498,m,207
1880,Jeanette,0.000564,f,207
1880,Lemuel,0.000498,m,208
1880,Adeline,0.000553,f,208
1880,Andy,0.00049,m,209
1880,Gussie,0.000553,f,209
1880,Ellis,0.00049,m,210
