year,name,fraction,sex,rank
1999,Jacob,0.017347,m,1
1999,Emily,0.013634,f,1
1999,Michael,0.016634,m,2
1999,Hannah,0.011136,f,2
1999,Matthew,0.014918,m,3
1999,Alexis,0.009881,f,3
1999,Joshua,0.01337,m,4
1999,Sarah,0.009817,f,4
1999,Nicholas,0.012576,m,5
1999,Samantha,0.009781,f,5
1999,Christopher,0.012559,m,6
1999,Ashley,0.009317,f,6
1999,Andrew,0.011703,m,7
1999,Madison,0.009275,f,7
1999,Joseph,0.011386,m,8
1999,Taylor,0.008685,f,8
1999,Daniel,0.011135,m,9
1999,Jessica,0.008399,f,9
1999,Tyler,0.011118,m,10
1999,Elizabeth,0.007885,f,10
1999,Brandon,0.010595,m,11
1999,Alyssa,0.00721,f,11
1999,Ryan,0.010307,m,12
1999,Lauren,0.007146,f,12
1999,Austin,0.010186,m,13
1999,Kayla,0.006827,f,13
1999,William,0.010161,m,14
1999,Brianna,0.006378,f,14
1999,John,0.009983,m,15
1999,Megan,0.00628,f,15
1999,David,0.00998,m,16
1999,Victoria,0.006099,f,16
1999,Zachary,0.0098,m,17
1999,Emma,0.006031,f,17
1999,Anthony,0.00955,m,18
1999,Abigail,0.006002,f,18
1999,James,0.0091,m,19
1999,Rachel,0.005975,f,19
1999,Justin,0.008965,m,20
1999,Olivia,0.005782,f,20
1999,Alexander,0.008542,m,21
1999,Jennifer,0.005453,f,21
1999,Jonathan,0.00837,m,22
1999,Amanda,0.005007,f,22
1999,Dylan,0.007838,m,23
1999,Sydney,0.004956,f,23
1999,Noah,0.007321,m,24
1999,Morgan,0.004935,f,24
1999,Christian,0.007249,m,25
1999,Nicole,0.004888,f,25
1999,Robert,0.007131,m,26
1999,Jasmine,0.004804,f,26
1999,Samuel,0.006889,m,27
1999,Grace,0.004715,f,27
1999,Kyle,0.006755,m,28
1999,Destiny,0.004712,f,28
1999,Benjamin,0.006703,m,29
1999,Anna,0.004679,f,29
1999,Jordan,0.006401,m,30
1999,Julia,0.004496,f,30
1999,Thomas,0.006274,m,31
1999,Haley,0.004214,f,31
1999,Nathan,0.006149,m,32
1999,Alexandra,0.004194,f,32
1999,Cameron,0.006099,m,33
1999,Kaitlyn,0.00419,f,33
1999,Kevin,0.006012,m,34
1999,Natalie,0.004151,f,34
1999,Jose,0.005961,m,35
1999,Brittany,0.00408,f,35
1999,Hunter,0.005633,m,36
1999,Katherine,0.004076,f,36
1999,Ethan,0.005613,m,37
1999,Stephanie,0.003952,f,37
1999,Aaron,0.004835,m,38
1999,Rebecca,0.003818,f,38
1999,Eric,0.004601,m,39
1999,Maria,0.003613,f,39
1999,Jason,0.004592,m,40
1999,Allison,0.003609,f,40
1999,Caleb,0.004552,m,41
1999,Amber,0.003514,f,41
1999,Logan,0.004481,m,42
1999,Savannah,0.003496,f,42
1999,Brian,0.00432,m,43
1999,Danielle,0.00347,f,43
1999,Adam,0.004033,m,44
1999,Courtney,0.003369,f,44
1999,Cody,0.003857,m,45
1999,Mary,0.003279,f,45
1999,Juan,0.003825,m,46
1999,Gabrielle,0.003149,f,46
1999,Steven,0.003771,m,47
1999,Brooke,0.003117,f,47
1999,Connor,0.003726,m,48
1999,Jordan,0.002944,f,48
1999,Timothy,0.003724,m,49
1999,Sierra,0.002935,f,49
1999,Charles,0.003691,m,50
1999,Sara,0.00289,f,50
1999,Isaiah,0.003679,m,51
1999,Kimberly,0.002804,f,51
1999,Jack,0.003621,m,52
1999,Mackenzie,0.002787,f,52
1999,Gabriel,0.003614,m,53
1999,Sophia,0.002786,f,53
1999,Jared,0.003569,m,54
1999,Hailey,0.002758,f,54
1999,Luis,0.003537,m,55
1999,Katelyn,0.002727,f,55
1999,Sean,0.003534,m,56
1999,Michelle,0.002724,f,56
1999,Evan,0.00336,m,57
1999,Vanessa,0.002716,f,57
1999,Alex,0.003349,m,58
1999,Erin,0.002683,f,58
1999,Carlos,0.003268,m,59
1999,Andrea,0.002605,f,59
1999,Elijah,0.003235,m,60
1999,Isabella,0.002599,f,60
1999,Richard,0.003189,m,61
1999,Jenna,0.002591,f,61
1999,Nathaniel,0.003171,m,62
1999,Shelby,0.002578,f,62
1999,Patrick,0.003161,m,63
1999,Chloe,0.002551,f,63
1999,Isaac,0.003142,m,64
1999,Melissa,0.002481,f,64
1999,Seth,0.003092,m,65
1999,Bailey,0.002471,f,65
1999,Trevor,0.003069,m,66
1999,Makayla,0.002461,f,66
1999,Luke,0.00301,m,67
1999,Paige,0.002423,f,67
1999,Devin,0.002928,m,68
1999,Mariah,0.002387,f,68
1999,Mark,0.00275,m,69
1999,Kaylee,0.002352,f,69
1999,Jesus,0.002732,m,70
1999,Madeline,0.002349,f,70
1999,Mason,0.002674,m,71
1999,Caroline,0.002298,f,71
1999,Ian,0.002673,m,72
1999,Kelsey,0.00226,f,72
1999,Angel,0.00265,m,73
1999,Marissa,0.002255,f,73
1999,Bryan,0.002644,m,74
1999,Breanna,0.00223,f,74
1999,Cole,0.002608,m,75
1999,Christina,0.002207,f,75
1999,Chase,0.002562,m,76
1999,Faith,0.002176,f,76
1999,Dakota,0.002498,m,77
1999,Autumn,0.002121,f,77
1999,Garrett,0.002489,m,78
1999,Kiara,0.002067,f,78
1999,Adrian,0.002485,m,79
1999,Jacqueline,0.002004,f,79
1999,Antonio,0.002466,m,80
1999,Tiffany,0.001997,f,80
1999,Jeremy,0.00246,m,81
1999,Laura,0.001991,f,81
1999,Jesse,0.002454,m,82
1999,Briana,0.001972,f,82
1999,Jackson,0.002449,m,83
1999,Alexandria,0.001947,f,83
1999,Blake,0.002359,m,84
1999,Cheyenne,0.001941,f,84
1999,Stephen,0.002228,m,85
1999,Mikayla,0.001918,f,85
1999,Dalton,0.002227,m,86
1999,Claire,0.001918,f,86
1999,Tanner,0.002218,m,87
1999,Cassandra,0.001916,f,87
1999,Alejandro,0.002118,m,88
1999,Sabrina,0.001875,f,88
1999,Kenneth,0.002102,m,89
1999,Alexa,0.001873,f,89
1999,Lucas,0.002069,m,90
1999,Angela,0.001866,f,90
1999,Miguel,0.002063,m,91
1999,Kathryn,0.001843,f,91
1999,Spencer,0.002056,m,92
1999,Katie,0.001821,f,92
1999,Bryce,0.002035,m,93
1999,Caitlin,0.001778,f,93
1999,Paul,0.001972,m,94
1999,Miranda,0.001764,f,94
1999,Victor,0.00197,m,95
1999,Kelly,0.001757,f,95
1999,Brendan,0.001959,m,96
1999,Lindsey,0.001755,f,96
1999,Jake,0.001929,m,97
1999,Isabel,0.001749,f,97
1999,Marcus,0.001897,m,98
1999,Catherine,0.001747,f,98
1999,Tristan,0.001885,m,99
1999,Cassidy,0.001744,f,99
1999,Jeffrey,0.001871,m,100
1999,Leslie,0.001716,f,100
1999,Gavin,0.001794,m,101
1999,Diana,0.00171,f,101
1999,Travis,0.00177,m,102
1999,Molly,0.001708,f,102
1999,Edward,0.001764,m,103
1999,Leah,0.001689,f,103
1999,Bradley,0.001754,m,104
1999,Zoe,0.001663,f,104
1999,Peter,0.001686,m,105
1999,Amy,0.001646,f,105
1999,Maxwell,0.001637,m,106
1999,Erica,0.001624,f,106
1999,Jorge,0.001623,m,107
1999,Gabriella,0.001619,f,107
1999,Jeremiah,0.001621,m,108
1999,Alicia,0.001548,f,108
1999,Colton,0.001613,m,109
