year,name,fraction,sex
1989,Michael,0.031204,m
1989,Jessica,0.024041,f
1989,Christopher,0.025382,m
1989,Ashley,0.023891,f
1989,Matthew,0.021656,m
1989,Brittany,0.018971,f
1989,Joshua,0.021041,m
1989,Amanda,0.018489,f
1989,David,0.016805,m
1989,Sarah,0.013952,f
1989,Daniel,0.016701,m
1989,Samantha,0.012446,f
1989,Andrew,0.016614,m
1989,Jennifer,0.012047,f
1989,Justin,0.015675,m
1989,Stephanie,0.011431,f
1989,James,0.015605,m
1989,Lauren,0.010575,f
1989,Robert,0.014349,m
1989,Elizabeth,0.010188,f
1989,Joseph,0.014258,m
1989,Megan,0.009933,f
1989,John,0.014241,m
1989,Nicole,0.009551,f
1989,Ryan,0.013557,m
1989,Emily,0.008697,f
1989,Nicholas,0.013469,m
1989,Amber,0.008413,f
1989,William,0.011776,m
1989,Heather,0.008157,f
1989,Anthony,0.011655,m
1989,Tiffany,0.007889,f
1989,Jonathan,0.011263,m
1989,Danielle,0.007714,f
1989,Brandon,0.011123,m
1989,Rachel,0.007709,f
1989,Kevin,0.010118,m
1989,Melissa,0.007632,f
1989,Kyle,0.009964,m
1989,Kayla,0.007481,f
1989,Eric,0.009057,m
1989,Courtney,0.006754,f
1989,Steven,0.00903,m
1989,Michelle,0.006715,f
1989,Thomas,0.008796,m
1989,Christina,0.006595,f
1989,Brian,0.008638,m
1989,Rebecca,0.006241,f
1989,Zachary,0.008626,m
1989,Laura,0.005895,f
1989,Jacob,0.008509,m
1989,Katherine,0.005732,f
1989,Adam,0.008079,m
1989,Chelsea,0.005647,f
1989,Timothy,0.007838,m
1989,Kimberly,0.00554,f
1989,Benjamin,0.007507,m
1989,Sara,0.004873,f
1989,Tyler,0.00744,m
1989,Jasmine,0.004794,f
1989,Aaron,0.007309,m
1989,Kelsey,0.004648,f
1989,Alexander,0.006929,m
1989,Crystal,0.004569,f
1989,Richard,0.006746,m
1989,Alyssa,0.00454,f
1989,Jeremy,0.006241,m
1989,Erica,0.00453,f
1989,Jason,0.006013,m
1989,Amy,0.004467,f
1989,Charles,0.005844,m
1989,Kristen,0.004418,f
1989,Jeffrey,0.005732,m
1989,Kelly,0.004399,f
1989,Patrick,0.005719,m
1989,Mary,0.004339,f
1989,Sean,0.005674,m
1989,Andrea,0.004221,f
1989,Stephen,0.005601,m
1989,Erin,0.004088,f
1989,Travis,0.005498,m
1989,Brittney,0.003932,f
1989,Mark,0.005399,m
1989,Hannah,0.003931,f
1989,Nathan,0.005203,m
1989,Alexandra,0.003854,f
1989,Jordan,0.005188,m
1989,Victoria,0.003833,f
1989,Cody,0.005163,m
1989,Katie,0.003661,f
1989,Jose,0.004929,m
1989,Allison,0.003659,f
1989,Samuel,0.004821,m
1989,Angela,0.003615,f
1989,Dustin,0.004638,m
1989,Lindsey,0.003549,f
1989,Paul,0.004309,m
1989,Caitlin,0.003528,f
1989,Jesse,0.004224,m
1989,Vanessa,0.003492,f
1989,Scott,0.004223,m
1989,Anna,0.00346,f
1989,Gregory,0.004179,m
1989,Jamie,0.003438,f
1989,Kenneth,0.004084,m
1989,Alicia,0.003423,f
1989,Derek,0.003991,m
1989,Cassandra,0.003361,f
1989,Corey,0.00382,m
1989,Lisa,0.0033,f
1989,Bryan,0.003748,m
1989,Maria,0.003179,f
1989,Jared,0.003348,m
1989,Whitney,0.003167,f
1989,Bradley,0.003331,m
1989,Kathryn,0.00316,f
1989,Austin,0.003285,m
1989,Christine,0.003079,f
1989,Alex,0.00312,m
1989,Kristin,0.003043,f
1989,Cory,0.003079,m
1989,Shannon,0.002842,f
1989,Edward,0.002792,m
1989,Natalie,0.002826,f
1989,Juan,0.002754,m
1989,Lindsay,0.002774,f
1989,Cameron,0.002668,m
1989,Jacqueline,0.002734,f
1989,Shawn,0.002614,m
1989,Kristina,0.002411,f
1989,Peter,0.00258,m
1989,April,0.002377,f
1989,Marcus,0.002576,m
1989,Catherine,0.002287,f
1989,Ian,0.00236,m
1989,Monica,0.00226,f
1989,Evan,0.002349,m
1989,Morgan,0.002223,f
1989,Keith,0.002334,m
1989,Tara,0.002194,f
1989,Shane,0.00232,m
1989,Jenna,0.002178,f
1989,Taylor,0.002318,m
1989,Jordan,0.002149,f
1989,Luis,0.002313,m
1989,Erika,0.002104,f
1989,Chad,0.002254,m
1989,Brooke,0.002082,f
1989,Phillip,0.002252,m
1989,Taylor,0.002043,f
1989,Antonio,0.002251,m
1989,Katelyn,0.002027,f
1989,Carlos,0.002213,m
1989,Brianna,0.002006,f
1989,Christian,0.002204,m
1989,Julie,0.00198,f
1989,George,0.002153,m
1989,Holly,0.001956,f
1989,Vincent,0.002143,m
1989,Meghan,0.001936,f
1989,Brett,0.002111,m
1989,Marissa,0.001905,f
1989,Donald,0.002064,m
1989,Krystal,0.0019,f
1989,Trevor,0.001986,m
1989,Leah,0.0019,f
1989,Nathaniel,0.001965,m
1989,Cynthia,0.001897,f
1989,Raymond,0.00196,m
1989,Veronica,0.001864,f
1989,Ronald,0.001959,m
1989,Diana,0.00185,f
1989,Ethan,0.001935,m
1989,Natasha,0.001842,f
1989,Joel,0.00188,m
1989,Melanie,0.001821,f
1989,Victor,0.001861,m
1989,Patricia,0.00181,f
1989,Casey,0.001838,m
1989,Kathleen,0.001806,f
1989,Caleb,0.001807,m
1989,Bianca,0.001804,f
1989,Douglas,0.001765,m
1989,Alexis,0.001764,f
1989,Mitchell,0.00174,m
1989,Molly,0.001736,f
1989,Seth,0.001734,m
1989,Abigail,0.001708,f
1989,Erik,0.001732,m
1989,Kaitlyn,0.001703,f
1989,Devin,0.001715,m
1989,Julia,0.00169,f
1989,Blake,0.001681,m
1989,Margaret,0.001649,f
1989,Wesley,0.00165,m
1989,Brandi,0.001631,f
1989,Derrick,0.001643,m
1989,Kendra,0.001621,f
1989,Adrian,0.001631,m
1989,Kaitlin,0.001592,f
1989,Philip,0.001585,m
1989,Kara,0.001566,f
1989,Garrett,0.001582,m
1989,Bethany,0.001547,f
1989,Jesus,0.00157,m
1989,Casey,0.001546,f
1989,Logan,0.001566,m
1989,Alexandria,0.001536,f
1989,Craig,0.001507,m
1989,Dana,0.001507,f
1989,Gary,0.001492,m
1989,Jillian,0.001467,f
1989,Spencer,0.001492,m
1989,Angelica,0.001443,f
1989,Miguel,0.001469,m
1989,Leslie,0.001438,f
1989,Frank,0.001455,m
1989,Rachael,0.001422,f
1989,Gabriel,0.001449,m
1989,Karen,0.001384,f
1989,Curtis,0.001415,m
1989,Felicia,0.001381,f
1989,Johnathan,0.001414,m
1989,Gabrielle,0.001365,f
1989,Chase,0.001367,m
1989,Caroline,0.001337,f
1989,Lucas,0.001365,m
1989,Kiara,0.001317,f
1989,Dylan,0.001362,m
1989,Katrina,0.001316,f
1989,Mario,0.001357,m
1989,Sabrina,0.001292,f
1989,Martin,0.001334,m
1989,Valerie,0.001286,f
1989,Brent,0.001312,m
1989,Britney,0.001253,f
1989,Ricardo,0.001305,m
1989,Alison,0.00125,f
1989,Alan,0.001301,m
1989,Meagan,0.001238,f
1989,Luke,0.001292,m
1989,Brandy,0.001233,f
1989,Jorge,0.00129,m
1989,Alisha,0.001223,f
1989,Dennis,0.001277,m
1989,Olivia,0.001222,f
1989,Troy,0.001259,m
1989,Paige,0.001201,f
1989,Francisco,0.00125,m
1989,Haley,0.001185,f
1989,Colin,0.001243,m
1989,Briana,0.001181,f
1989,Randy,0.001243,m
1989,Desiree,0.001179,f
1989,Jonathon,0.001207,m
1989,Nancy,0.001176,f
1989,Jeffery,0.001183,m
1989,Sandra,0.001169,f
1989,Allen,0.001126,m
1989,Miranda,0.001167,f
1989,Larry,0.001116,m
1989,Ana,0.00114,f
1989,Tony,0.001098,m
1989,Brenda,0.00114,f
1989,Johnny,0.001096,m
1989,Candace,0.001139,f
1989,Andre,0.001085,m
1989,Candice,0.001136,f
1989,Carl,0.001078,m
1989,Adriana,0.001134,f
1989,Russell,0.001059,m
1989,Nichole,0.001121,f
1989,Julian,0.001055,m
1989,Krista,0.001117,f
1989,Isaac,0.001054,m
1989,Jaclyn,0.001113,f
1989,Manuel,0.001054,m
1989,Monique,0.001109,f
1989,Angel,0.001038,m
1989,Chelsey,0.001105,f
1989,Henry,0.001038,m
1989,Gina,0.001088,f
1989,Jerry,0.001033,m
1989,Joanna,0.001062,f
1989,Mathew,0.001032,m
1989,Lacey,0.001042,f
1989,Brendan,0.001025,m
1989,Ashlee,0.001027,f
1989,Jeremiah,0.001024,m
1989,Denise,0.001021,f
1989,Todd,0.001014,m
1989,Stacey,0.001012,f
1989,Edgar,0.001004,m
1989,Mallory,0.000989,f
1989,Alejandro,0.000994,m
1989,Carrie,0.000983,f
1989,Roberto,0.000962,m
1989,Emma,0.000971,f
1989,Drew,0.000959,m
1989,Grace,0.000967,f
1989,Terry,0.000956,m
1989,Kylie,0.000967,f
1989,Jake,0.000937,m
1989,Stacy,0.000944,f
1989,Clayton,0.000936,m
1989,Anne,0.000943,f
1989,Oscar,0.000936,m
1989,Rebekah,0.000938,f
1989,Kristopher,0.000934,m
1989,Sierra,0.000935,f
1989,Eduardo,0.000924,m
1989,Tabitha,0.00093,f
1989,Colton,0.000918,m
1989,Linda,0.000926,f
1989,Danny,0.000913,m
1989,Carolyn,0.000909,f
1989,Ricky,0.000904,m
1989,Colleen,0.000908,f
1989,Marc,0.000904,m
1989,Robin,0.000904,f
1989,Calvin,0.000892,m
1989,Susan,0.000904,f
1989,Randall,0.000882,m
1989,Deanna,0.000882,f
1989,Louis,0.000876,m
1989,Breanna,0.000877,f
1989,Micheal,0.000875,m
1989,Priscilla,0.000874,f
1989,Lance,0.00087,m
1989,Kelli,0.000871,f
1989,Javier,0.000866,m
1989,Cristina,0.00087,f
1989,Hector,0.000861,m
1989,Angel,0.000862,f
1989,Ross,0.000852,m
1989,Meredith,0.000854,f
