year,name,fraction,sex,rank
1926,Robert,0.053363,m,1
1926,Mary,0.055139,f,1
1926,John,0.048988,m,2
1926,Dorothy,0.029765,f,2
1926,James,0.046451,m,3
1926,Betty,0.026793,f,3
1926,William,0.045334,m,4
1926,Helen,0.021855,f,4
1926,Charles,0.025771,m,5
1926,Margaret,0.018754,f,5
1926,George,0.022611,m,6
1926,Ruth,0.016434,f,6
1926,Richard,0.021953,m,7
1926,Doris,0.01325,f,7
1926,Joseph,0.020744,m,8
1926,Virginia,0.013138,f,8
1926,Donald,0.018249,m,9
1926,Mildred,0.011016,f,9
1926,Edward,0.016918,m,10
1926,Frances,0.010857,f,10
1926,Thomas,0.014493,m,11
1926,Elizabeth,0.010433,f,11
1926,Frank,0.012651,m,12
1926,Jean,0.009892,f,12
1926,Paul,0.011918,m,13
1926,Evelyn,0.009576,f,13
1926,Harold,0.011616,m,14
1926,Shirley,0.009561,f,14
1926,Raymond,0.011181,m,15
1926,Anna,0.00951,f,15
1926,Jack,0.010652,m,16
1926,Barbara,0.009005,f,16
1926,Walter,0.010271,m,17
1926,Alice,0.008904,f,17
1926,Kenneth,0.009025,m,18
1926,Marie,0.00864,f,18
1926,Henry,0.008727,m,19
1926,Lois,0.007983,f,19
1926,Arthur,0.008262,m,20
1926,Gloria,0.007477,f,20
1926,Albert,0.007982,m,21
1926,Irene,0.007453,f,21
1926,David,0.007888,m,22
1926,Marjorie,0.007025,f,22
1926,Eugene,0.007869,m,23
1926,Patricia,0.006983,f,23
1926,Ralph,0.00738,m,24
1926,Martha,0.006956,f,24
1926,Harry,0.007167,m,25
1926,Rose,0.006919,f,25
1926,Carl,0.00606,m,26
1926,Florence,0.006651,f,26
1926,Howard,0.005971,m,27
1926,Louise,0.006489,f,27
1926,Willie,0.005953,m,28
1926,Lillian,0.006228,f,28
1926,Clarence,0.005707,m,29
1926,Norma,0.006118,f,29
1926,Louis,0.005686,m,30
1926,Ruby,0.006074,f,30
1926,Fred,0.005628,m,31
1926,Catherine,0.006069,f,31
1926,Earl,0.005626,m,32
1926,Eleanor,0.005938,f,32
1926,Joe,0.005534,m,33
1926,Phyllis,0.005625,f,33
1926,Roy,0.005438,m,34
1926,Annie,0.00559,f,34
1926,Francis,0.005052,m,35
1926,Gladys,0.005392,f,35
1926,Lawrence,0.004875,m,36
1926,Thelma,0.005352,f,36
1926,Ernest,0.00475,m,37
1926,Josephine,0.005208,f,37
1926,Leonard,0.004717,m,38
1926,Edna,0.005194,f,38
1926,Norman,0.004616,m,39
1926,Pauline,0.00517,f,39
1926,Billy,0.004527,m,40
1926,June,0.004939,f,40
1926,Gerald,0.004472,m,41
1926,Ethel,0.004763,f,41
1926,Anthony,0.004418,m,42
1926,Edith,0.004705,f,42
1926,Stanley,0.004332,m,43
1926,Lucille,0.004682,f,43
1926,Herbert,0.004312,m,44
1926,Joyce,0.004639,f,44
1926,Alfred,0.004131,m,45
1926,Bernice,0.004426,f,45
1926,Daniel,0.003941,m,46
1926,Grace,0.004413,f,46
1926,Melvin,0.003662,m,47
1926,Marion,0.004352,f,47
1926,Samuel,0.003648,m,48
1926,Hazel,0.004309,f,48
1926,Bernard,0.003643,m,49
1926,Dolores,0.004242,f,49
1926,Marvin,0.003591,m,50
1926,Rita,0.004073,f,50
1926,Leroy,0.003324,m,51
1926,Joan,0.004061,f,51
1926,Russell,0.003312,m,52
1926,Juanita,0.004052,f,52
1926,Floyd,0.003159,m,53
1926,Lorraine,0.003977,f,53
1926,Leo,0.003103,m,54
1926,Geraldine,0.003914,f,54
1926,Edwin,0.003049,m,55
1926,Ann,0.003885,f,55
1926,Michael,0.003042,m,56
1926,Jane,0.003773,f,56
1926,Ray,0.002974,m,57
1926,Nancy,0.003711,f,57
1926,Peter,0.002931,m,58
1926,Beatrice,0.003671,f,58
1926,Andrew,0.00292,m,59
1926,Audrey,0.003641,f,59
1926,Lloyd,0.002863,m,60
1926,Emma,0.003641,f,60
1926,Elmer,0.002821,m,61
1926,Clara,0.003628,f,61
1926,Clifford,0.002786,m,62
1926,Esther,0.003622,f,62
1926,Theodore,0.002733,m,63
1926,Sarah,0.003595,f,63
1926,Frederick,0.002722,m,64
1926,Theresa,0.003583,f,64
1926,Calvin,0.00263,m,65
1926,Marilyn,0.003553,f,65
1926,Vernon,0.002575,m,66
1926,Wanda,0.003353,f,66
1926,Clyde,0.002509,m,67
1926,Wilma,0.003297,f,67
1926,Wayne,0.002453,m,68
1926,Elaine,0.003254,f,68
1926,Herman,0.002437,m,69
1926,Elsie,0.003178,f,69
1926,Philip,0.002361,m,70
1926,Marian,0.003137,f,70
1926,Warren,0.002359,m,71
1926,Gertrude,0.003132,f,71
1926,Alvin,0.002351,m,72
1926,Katherine,0.003117,f,72
1926,Bill,0.002307,m,73
1926,Willie,0.003107,f,73
1926,Leon,0.002307,m,74
1926,Beverly,0.003068,f,74
1926,Glenn,0.0023,m,75
1926,Julia,0.002996,f,75
1926,Gordon,0.002294,m,76
1926,Bertha,0.002914,f,76
1926,Vincent,0.002221,m,77
1926,Agnes,0.00287,f,77
1926,Chester,0.002213,m,78
1926,Charlotte,0.002856,f,78
1926,Lester,0.002213,m,79
1926,Eva,0.00284,f,79
1926,Martin,0.002179,m,80
1926,Vivian,0.002789,f,80
1926,Lewis,0.002135,m,81
1926,Laura,0.002744,f,81
1926,Charlie,0.002134,m,82
1926,Ida,0.002668,f,82
1926,Milton,0.002111,m,83
1926,Kathleen,0.002664,f,83
1926,Dale,0.002094,m,84
1926,Maxine,0.002562,f,84
1926,Lee,0.002019,m,85
1926,Vera,0.002562,f,85
1926,Cecil,0.002011,m,86
1926,Anne,0.002527,f,86
1926,Jesse,0.002004,m,87
1926,Kathryn,0.002515,f,87
1926,Ronald,0.001997,m,88
1926,Jeanne,0.002488,f,88
1926,Roger,0.001973,m,89
1926,Bessie,0.002482,f,89
1926,Harvey,0.001859,m,90
1926,Donna,0.002445,f,90
1926,Gene,0.001822,m,91
1926,Alma,0.00243,f,91
1926,Sam,0.001776,m,92
1926,Eileen,0.002381,f,92
1926,Allen,0.001762,m,93
1926,Jessie,0.002375,f,93
1926,Victor,0.001759,m,94
1926,Violet,0.002359,f,94
1926,Wallace,0.001755,m,95
1926,Pearl,0.002357,f,95
1926,Don,0.001712,m,96
1926,Rosemary,0.002357,f,96
1926,Jerry,0.001685,m,97
1926,Viola,0.00234,f,97
1926,Benjamin,0.001657,m,98
1926,Ella,0.002318,f,98
1926,Arnold,0.001642,m,99
1926,Lillie,0.00231,f,99
1926,Willard,0.001579,m,100
1926,Ellen,0.00225,f,100
1926,Gilbert,0.001554,m,101
1926,Myrtle,0.002242,f,101
1926,Bob,0.001553,m,102
1926,Nellie,0.002214,f,102
1926,Douglas,0.001552,m,103
1926,Margie,0.002207,f,103
1926,Johnnie,0.001511,m,104
1926,Peggy,0.002132,f,104
1926,Oscar,0.001497,m,105
1926,Bonnie,0.00212,f,105
1926,Claude,0.001496,m,106
1926,Lucy,0.002068,f,106
1926,Roland,0.001486,m,107
1926,Sylvia,0.002054,f,107
1926,Edgar,0.001464,m,108
1926,Arlene,0.002049,f,108
1926,Eddie,0.001463,m,109
1926,Mattie,0.002028,f,109
1926,Maurice,0.001432,m,110
1926,Janet,0.002006,f,110
1926,Rudolph,0.001429,m,111
1926,Minnie,0.001992,f,111
1926,Marion,0.00142,m,112
1926,Leona,0.001975,f,112
1926,Curtis,0.001419,m,113
1926,Carol,0.001973,f,113
1926,Jerome,0.001409,m,114
1926,Carolyn,0.001962,f,114
1926,Jimmie,0.001406,m,115
1926,Georgia,0.001911,f,115
1926,Bobby,0.001394,m,116
1926,Maria,0.00191,f,116
1926,Junior,0.001388,m,117
1926,Geneva,0.001893,f,117
1926,Virgil,0.001376,m,118
1926,Mae,0.001838,f,118
1926,Everett,0.001369,m,119
1926,Jacqueline,0.001825,f,119
