year,name,fraction,sex,rank
1892,John,0.068762,m,1
1892,Mary,0.058564,f,1
1892,William,0.0592,m,2
1892,Anna,0.02464,f,2
1892,James,0.041064,m,3
1892,Elizabeth,0.015388,f,3
1892,George,0.036211,m,4
1892,Margaret,0.015272,f,4
1892,Charles,0.032856,m,5
1892,Ruth,0.014628,f,5
1892,Frank,0.023963,m,6
1892,Florence,0.014023,f,6
1892,Joseph,0.023309,m,7
1892,Emma,0.013907,f,7
1892,Robert,0.020616,m,8
1892,Ethel,0.013494,f,8
1892,Harry,0.018714,m,9
1892,Helen,0.013054,f,9
1892,Henry,0.018653,m,10
1892,Clara,0.011831,f,10
1892,Edward,0.018379,m,11
1892,Bertha,0.011636,f,11
1892,Thomas,0.018356,m,12
1892,Minnie,0.0116,f,12
1892,Walter,0.016957,m,13
1892,Bessie,0.011298,f,13
1892,Arthur,0.01345,m,14
1892,Alice,0.010551,f,14
1892,Fred,0.012385,m,15
1892,Annie,0.010439,f,15
1892,Albert,0.011411,m,16
1892,Grace,0.010222,f,16
1892,Clarence,0.009707,m,17
1892,Ida,0.010044,f,17
1892,Roy,0.007972,m,18
1892,Edna,0.009862,f,18
1892,Willie,0.007212,m,19
1892,Mabel,0.009648,f,19
1892,Samuel,0.006862,m,20
1892,Lillian,0.009577,f,20
1892,Earl,0.006755,m,21
1892,Marie,0.009186,f,21
1892,Louis,0.00658,m,22
1892,Rose,0.008995,f,22
1892,Joe,0.00623,m,23
1892,Gertrude,0.008554,f,23
1892,David,0.006185,m,24
1892,Martha,0.008514,f,24
1892,Carl,0.006147,m,25
1892,Hazel,0.008434,f,25
1892,Ernest,0.006124,m,26
1892,Pearl,0.008141,f,26
1892,Richard,0.006101,m,27
1892,Ella,0.008039,f,27
1892,Charlie,0.005789,m,28
1892,Sarah,0.007999,f,28
1892,Paul,0.005683,m,29
1892,Laura,0.007754,f,29
1892,Ralph,0.005515,m,30
1892,Nellie,0.007727,f,30
1892,Raymond,0.005181,m,31
1892,Frances,0.007425,f,31
1892,Andrew,0.004846,m,32
1892,Myrtle,0.007407,f,32
1892,Oscar,0.004823,m,33
1892,Edith,0.007225,f,33
1892,Will,0.004618,m,34
1892,Eva,0.007163,f,34
1892,Jesse,0.00458,m,35
1892,Carrie,0.00706,f,35
1892,Elmer,0.004504,m,36
1892,Lillie,0.006683,f,36
1892,Harold,0.004435,m,37
1892,Elsie,0.00662,f,37
1892,Sam,0.004192,m,38
1892,Louise,0.006429,f,38
1892,Howard,0.004169,m,39
1892,Cora,0.006309,f,39
1892,Alfred,0.004123,m,40
1892,Hattie,0.00606,f,40
1892,Daniel,0.004055,m,41
1892,Julia,0.006047,f,41
1892,Benjamin,0.003994,m,42
1892,Catherine,0.005927,f,42
1892,Herbert,0.003903,m,43
1892,Agnes,0.005904,f,43
1892,Lawrence,0.00356,m,44
1892,Mattie,0.005793,f,44
1892,Peter,0.003537,m,45
1892,Maude,0.005647,f,45
1892,Lee,0.003499,m,46
1892,Jessie,0.00554,f,46
1892,Grover,0.003454,m,47
1892,Lena,0.005487,f,47
1892,Frederick,0.003446,m,48
1892,Jennie,0.005389,f,48
1892,Leo,0.003378,m,49
1892,Josephine,0.00538,f,49
1892,Francis,0.003264,m,50
1892,Ada,0.005042,f,50
1892,Herman,0.003203,m,51
1892,Irene,0.004922,f,51
1892,Floyd,0.003195,m,52
1892,Mae,0.004895,f,52
1892,Eugene,0.003149,m,53
1892,Lula,0.004882,f,53
1892,Jack,0.003051,m,54
1892,Blanche,0.004864,f,54
1892,Lewis,0.003035,m,55
1892,Lucy,0.0047,f,55
1892,Clyde,0.002967,m,56
1892,Alma,0.004695,f,56
1892,Ray,0.002929,m,57
1892,Fannie,0.004584,f,57
1892,Tom,0.002898,m,58
1892,Mamie,0.004348,f,58
1892,Michael,0.002891,m,59
1892,Stella,0.004322,f,59
1892,Ben,0.002746,m,60
1892,Katherine,0.004273,f,60
1892,Martin,0.002731,m,61
1892,Dora,0.004268,f,61
1892,Claude,0.002685,m,62
1892,Mildred,0.004264,f,62
1892,Edwin,0.002571,m,63
1892,Nora,0.003997,f,63
1892,Jim,0.002541,m,64
1892,Maggie,0.003926,f,64
1892,Guy,0.002396,m,65
1892,Gladys,0.003855,f,65
1892,Ed,0.002328,m,66
1892,Viola,0.003704,f,66
1892,Edgar,0.002305,m,67
1892,Esther,0.003664,f,67
1892,Homer,0.00229,m,68
1892,Rosa,0.003539,f,68
1892,Harvey,0.002267,m,69
1892,Ellen,0.003379,f,69
1892,Luther,0.002244,m,70
1892,May,0.003348,f,70
1892,Leonard,0.002237,m,71
1892,Sadie,0.003219,f,71
1892,Chester,0.002168,m,72
1892,Effie,0.003206,f,72
1892,Jacob,0.002153,m,73
1892,Nettie,0.003135,f,73
1892,Otto,0.002092,m,74
1892,Ruby,0.00309,f,74
1892,Russell,0.002046,m,75
1892,Susie,0.002974,f,75
1892,Lloyd,0.002039,m,76
1892,Della,0.002961,f,76
1892,Hugh,0.002016,m,77
1892,Beulah,0.002837,f,77
1892,Anthony,0.00194,m,78
1892,Willie,0.002806,f,78
1892,Jessie,0.001909,m,79
1892,Dorothy,0.002783,f,79
1892,Clifford,0.001826,m,80
1892,Lizzie,0.002654,f,80
1892,Lester,0.001826,m,81
1892,Nancy,0.002628,f,81
1892,Philip,0.001818,m,82
1892,Flora,0.002601,f,82
1892,Theodore,0.001818,m,83
1892,Olive,0.002592,f,83
1892,Oliver,0.001811,m,84
1892,Sallie,0.002588,f,84
1892,Bernard,0.001803,m,85
1892,Daisy,0.002508,f,85
1892,Patrick,0.00178,m,86
1892,Katie,0.002503,f,86
1892,Leroy,0.001772,m,87
1892,Georgia,0.002454,f,87
1892,Ira,0.001757,m,88
1892,Kathryn,0.002441,f,88
1892,Allen,0.001704,m,89
1892,Lottie,0.002432,f,89
