year,name,fraction,sex
2005,Jacob,0.012149,m
2005,Emily,0.011803,f
2005,Michael,0.011198,m
2005,Emma,0.01003,f
2005,Joshua,0.010935,m
2005,Madison,0.009648,f
2005,Matthew,0.010097,m
2005,Abigail,0.007767,f
2005,Ethan,0.010025,m
2005,Olivia,0.007739,f
2005,Andrew,0.00975,m
2005,Isabella,0.007484,f
2005,Daniel,0.009506,m
2005,Hannah,0.00732,f
2005,Anthony,0.009112,m
2005,Samantha,0.006724,f
2005,Joseph,0.009033,m
2005,Ava,0.006709,f
2005,Christopher,0.009014,m
2005,Ashley,0.006545,f
2005,William,0.008961,m
2005,Elizabeth,0.006275,f
2005,Alexander,0.008521,m
2005,Sophia,0.006248,f
2005,David,0.008517,m
2005,Alexis,0.0059,f
2005,Ryan,0.00846,m
2005,Grace,0.00585,f
2005,Nicholas,0.008029,m
2005,Sarah,0.005685,f
2005,Tyler,0.007991,m
2005,Alyssa,0.005368,f
2005,James,0.007585,m
2005,Mia,0.005347,f
2005,John,0.007415,m
2005,Natalie,0.005292,f
2005,Jonathan,0.00679,m
2005,Chloe,0.004728,f
2005,Nathan,0.006752,m
2005,Brianna,0.004615,f
2005,Samuel,0.006703,m
2005,Lauren,0.004559,f
2005,Christian,0.00668,m
2005,Anna,0.004487,f
2005,Noah,0.006535,m
2005,Ella,0.00447,f
2005,Dylan,0.00648,m
2005,Taylor,0.004276,f
2005,Benjamin,0.006382,m
2005,Kayla,0.004249,f
2005,Logan,0.006334,m
2005,Hailey,0.004235,f
2005,Brandon,0.006089,m
2005,Jessica,0.003999,f
2005,Gabriel,0.005999,m
2005,Victoria,0.003922,f
2005,Zachary,0.005778,m
2005,Jasmine,0.003878,f
2005,Jose,0.005674,m
2005,Sydney,0.003637,f
2005,Elijah,0.00546,m
2005,Julia,0.003493,f
2005,Angel,0.005167,m
2005,Destiny,0.003393,f
2005,Kevin,0.00513,m
2005,Morgan,0.003328,f
2005,Jack,0.005129,m
2005,Kaitlyn,0.003214,f
2005,Caleb,0.005122,m
2005,Savannah,0.003195,f
2005,Justin,0.004943,m
2005,Katherine,0.003151,f
2005,Robert,0.004775,m
2005,Alexandra,0.003116,f
2005,Austin,0.004756,m
2005,Rachel,0.003062,f
2005,Evan,0.004754,m
2005,Lily,0.003003,f
2005,Thomas,0.004722,m
2005,Kaylee,0.002892,f
2005,Luke,0.004706,m
2005,Megan,0.002887,f
2005,Mason,0.004593,m
2005,Jennifer,0.002877,f
2005,Aidan,0.004591,m
2005,Angelina,0.002864,f
2005,Jackson,0.004506,m
2005,Makayla,0.002822,f
2005,Isaiah,0.004477,m
2005,Allison,0.002778,f
2005,Jordan,0.004418,m
2005,Maria,0.002758,f
2005,Gavin,0.004392,m
2005,Brooke,0.002745,f
2005,Connor,0.004384,m
2005,Trinity,0.002687,f
2005,Isaac,0.004289,m
2005,Faith,0.002586,f
2005,Aiden,0.004272,m
2005,Lillian,0.00257,f
2005,Jason,0.004051,m
2005,Mackenzie,0.002561,f
2005,Cameron,0.004031,m
2005,Sofia,0.002545,f
2005,Hunter,0.004003,m
2005,Riley,0.002527,f
2005,Jayden,0.003882,m
2005,Haley,0.002526,f
2005,Juan,0.00387,m
2005,Gabrielle,0.002474,f
2005,Charles,0.003728,m
2005,Nicole,0.002458,f
2005,Aaron,0.003669,m
2005,Kylie,0.002449,f
2005,Lucas,0.003563,m
2005,Zoe,0.002445,f
2005,Luis,0.00351,m
2005,Katelyn,0.00243,f
2005,Owen,0.003372,m
2005,Paige,0.002418,f
2005,Landon,0.003343,m
2005,Gabriella,0.002376,f
2005,Diego,0.003263,m
2005,Jenna,0.002364,f
2005,Brian,0.003253,m
2005,Kimberly,0.002343,f
2005,Adam,0.003217,m
2005,Stephanie,0.002318,f
2005,Adrian,0.003159,m
2005,Andrea,0.002301,f
2005,Eric,0.003149,m
2005,Alexa,0.0023,f
2005,Ian,0.003144,m
2005,Avery,0.002294,f
2005,Kyle,0.003144,m
2005,Leah,0.002266,f
2005,Nathaniel,0.003142,m
2005,Nevaeh,0.002245,f
2005,Carlos,0.003086,m
2005,Madeline,0.002233,f
2005,Alex,0.003049,m
2005,Evelyn,0.002212,f
2005,Bryan,0.003036,m
2005,Mary,0.002195,f
2005,Jesus,0.002999,m
2005,Maya,0.002183,f
2005,Julian,0.002875,m
2005,Michelle,0.002124,f
2005,Sean,0.002819,m
2005,Sara,0.002108,f
2005,Hayden,0.002784,m
2005,Jada,0.002102,f
2005,Carter,0.002775,m
2005,Audrey,0.002038,f
2005,Jeremiah,0.002747,m
2005,Brooklyn,0.002035,f
2005,Cole,0.002628,m
2005,Vanessa,0.002018,f
2005,Brayden,0.002591,m
2005,Amanda,0.002016,f
2005,Wyatt,0.002518,m
2005,Rebecca,0.001973,f
2005,Chase,0.002444,m
2005,Ariana,0.001961,f
2005,Steven,0.002386,m
2005,Caroline,0.00196,f
2005,Timothy,0.002363,m
2005,Amelia,0.001927,f
2005,Dominic,0.002347,m
2005,Mariah,0.001894,f
2005,Sebastian,0.00233,m
2005,Jordan,0.001821,f
2005,Xavier,0.002293,m
2005,Jocelyn,0.001815,f
2005,Jaden,0.002281,m
2005,Arianna,0.001811,f
2005,Jesse,0.002231,m
2005,Isabel,0.00178,f
2005,Devin,0.002217,m
2005,Autumn,0.001774,f
2005,Seth,0.002216,m
2005,Marissa,0.001771,f
2005,Antonio,0.002206,m
2005,Melanie,0.001724,f
2005,Miguel,0.002199,m
2005,Aaliyah,0.001705,f
2005,Richard,0.002193,m
2005,Gracie,0.001662,f
2005,Colin,0.002132,m
2005,Claire,0.001624,f
2005,Cody,0.002129,m
2005,Isabelle,0.001618,f
2005,Alejandro,0.002107,m
2005,Molly,0.001585,f
2005,Caden,0.002088,m
2005,Mya,0.00158,f
2005,Blake,0.002077,m
2005,Katie,0.00156,f
2005,Kaden,0.002053,m
2005,Diana,0.001557,f
2005,Carson,0.002048,m
2005,Amber,0.001548,f
2005,Henry,0.001963,m
2005,Danielle,0.001546,f
2005,Jake,0.001954,m
2005,Leslie,0.00154,f
2005,Liam,0.001953,m
2005,Melissa,0.00152,f
2005,Victor,0.001946,m
2005,Sierra,0.001502,f
2005,Riley,0.001934,m
2005,Addison,0.00149,f
2005,Ashton,0.001911,m
2005,Madelyn,0.001489,f
2005,Patrick,0.001901,m
2005,Bailey,0.001474,f
2005,Bryce,0.001836,m
2005,Catherine,0.001471,f
2005,Brady,0.001779,m
2005,Gianna,0.001461,f
2005,Vincent,0.001762,m
2005,Amy,0.001456,f
2005,Trevor,0.001731,m
2005,Erin,0.001433,f
2005,Tristan,0.001688,m
2005,Jade,0.001428,f
2005,Mark,0.001659,m
2005,Angela,0.001427,f
2005,Jeremy,0.001638,m
2005,Gabriela,0.001413,f
2005,Marcus,0.001632,m
2005,Jacqueline,0.001405,f
2005,Oscar,0.001627,m
2005,Shelby,0.0014,f
2005,Jorge,0.001619,m
2005,Kennedy,0.001394,f
2005,Parker,0.001601,m
2005,Lydia,0.001365,f
2005,Cooper,0.001596,m
2005,Alondra,0.001342,f
2005,Kaleb,0.001595,m
2005,Adriana,0.001334,f
2005,Kenneth,0.001584,m
2005,Daniela,0.001308,f
2005,Joel,0.001539,m
2005,Natalia,0.001307,f
2005,Garrett,0.001535,m
2005,Breanna,0.001301,f
2005,Josiah,0.001531,m
2005,Kathryn,0.001268,f
2005,Ivan,0.001522,m
2005,Briana,0.001253,f
2005,Alan,0.001507,m
2005,Ashlyn,0.001252,f
2005,Conner,0.001507,m
2005,Rylee,0.001243,f
2005,Eduardo,0.001495,m
2005,Eva,0.00122,f
2005,Paul,0.001478,m
2005,Ruby,0.001217,f
2005,Tanner,0.001445,m
2005,Peyton,0.001214,f
2005,Alexis,0.001435,m
2005,Kendall,0.001211,f
2005,Braden,0.001433,m
2005,Alexandria,0.001209,f
2005,Edward,0.001397,m
2005,Christina,0.001208,f
2005,Omar,0.001396,m
2005,Charlotte,0.001204,f
2005,Nicolas,0.001394,m
2005,Sophie,0.001203,f
2005,Jared,0.001375,m
2005,Valeria,0.001198,f
2005,Peyton,0.001337,m
2005,Reagan,0.001196,f
2005,George,0.001328,m
2005,Naomi,0.001192,f
2005,Maxwell,0.001322,m
2005,Summer,0.001188,f
2005,Cristian,0.001291,m
2005,Kate,0.001186,f
2005,Stephen,0.00129,m
2005,Mikayla,0.00118,f
2005,Francisco,0.001289,m
2005,Angel,0.001176,f
2005,Levi,0.001289,m
2005,Layla,0.001175,f
2005,Collin,0.001285,m
2005,Miranda,0.001163,f
2005,Preston,0.001282,m
2005,Ana,0.001161,f
2005,Ayden,0.00128,m
2005,Laura,0.001158,f
2005,Dakota,0.001278,m
2005,Alicia,0.001154,f
2005,Nolan,0.001278,m
2005,Daisy,0.001145,f
2005,Micah,0.001275,m
2005,Ciara,0.001144,f
2005,Gage,0.00127,m
2005,Margaret,0.00114,f
2005,Eli,0.001262,m
2005,Zoey,0.00112,f
2005,Manuel,0.001252,m
2005,Aubrey,0.001116,f
2005,Grant,0.00125,m
2005,Skylar,0.001104,f
2005,Colton,0.001249,m
2005,Genesis,0.001097,f
2005,Damian,0.001236,m
2005,Kylee,0.001083,f
2005,Ricardo,0.001235,m
2005,Courtney,0.001083,f
2005,Giovanni,0.001222,m
2005,Payton,0.001077,f
2005,Emmanuel,0.00121,m
2005,Kiara,0.00106,f
2005,Andres,0.00121,m
2005,Alexia,0.001048,f
2005,Peter,0.0012,m
2005,Jillian,0.001046,f
2005,Malachi,0.001199,m
2005,Lindsey,0.001033,f
2005,Cesar,0.001185,m
2005,Mckenzie,0.001024,f
2005,Javier,0.001176,m
2005,Karen,0.001018,f
2005,Max,0.001172,m
2005,Mariana,0.001016,f
2005,Hector,0.001156,m
2005,Giselle,0.001015,f
2005,Shane,0.001156,m
2005,Valerie,0.001003,f
2005,Edgar,0.001154,m
2005,Serenity,0.000979,f
2005,Ty,0.001152,m
2005,Sabrina,0.000976,f
2005,Fernando,0.001148,m
2005,Alana,0.000973,f
2005,Jeffrey,0.001141,m
2005,Cheyenne,0.000969,f
2005,Derek,0.001137,m
2005,Lucy,0.000968,f
2005,Bradley,0.001133,m
2005,Kelsey,0.000967,f
2005,Shawn,0.001113,m
2005,Kelly,0.000962,f
2005,Travis,0.001113,m
2005,Sadie,0.000962,f
2005,Brendan,0.00111,m
2005,Juliana,0.000961,f
2005,Spencer,0.001089,m
2005,Bianca,0.000948,f
2005,Edwin,0.001084,m
2005,Nadia,0.000947,f
2005,Mario,0.001081,m
2005,Kyra,0.000943,f
2005,Dalton,0.001061,m
2005,Jasmin,0.00094,f
2005,Erick,0.001055,m
2005,Lilly,0.000939,f
2005,Johnathan,0.001054,m
2005,Caitlyn,0.000935,f
2005,Erik,0.001048,m
2005,Ellie,0.000931,f
2005,Jonah,0.001045,m
2005,Hope,0.000931,f
2005,Donovan,0.001026,m
2005,Cassandra,0.00092,f
2005,Leonardo,0.001009,m
2005,Jazmin,0.000919,f
2005,Elias,0.000996,m
2005,Crystal,0.000914,f
2005,Marco,0.000995,m
2005,Jordyn,0.000909,f
2005,Wesley,0.000993,m
2005,Cassidy,0.000904,f
2005,Trenton,0.000989,m
2005,Delaney,0.000902,f
2005,Devon,0.000985,m
2005,Liliana,0.000885,f
2005,Abraham,0.000962,m
2005,Angelica,0.000882,f
2005,Brody,0.000957,m
2005,Caitlin,0.000875,f
2005,Jaylen,0.000939,m
2005,Adrianna,0.000872,f
2005,Bryson,0.00093,m
