year,name,fraction,sex
1988,Michael,0.032045,m
1988,Jessica,0.026808,f
1988,Christopher,0.026479,m
1988,Ashley,0.025992,f
1988,Matthew,0.022924,m
1988,Amanda,0.020523,f
1988,Joshua,0.021313,m
1988,Sarah,0.014752,f
1988,Andrew,0.017856,m
1988,Jennifer,0.014507,f
1988,David,0.017645,m
1988,Brittany,0.013949,f
1988,Justin,0.01751,m
1988,Stephanie,0.011878,f
1988,Daniel,0.017335,m
1988,Samantha,0.010767,f
1988,James,0.01624,m
1988,Nicole,0.010566,f
1988,Robert,0.015148,m
1988,Elizabeth,0.010419,f
1988,John,0.014691,m
1988,Lauren,0.010215,f
1988,Joseph,0.014492,m
1988,Megan,0.009658,f
1988,Ryan,0.01386,m
1988,Tiffany,0.009552,f
1988,Nicholas,0.012639,m
1988,Heather,0.009381,f
1988,Jonathan,0.012167,m
1988,Amber,0.008676,f
1988,William,0.012052,m
1988,Melissa,0.008607,f
1988,Brandon,0.011858,m
1988,Danielle,0.008455,f
1988,Anthony,0.011808,m
1988,Emily,0.008254,f
1988,Eric,0.010075,m
1988,Rachel,0.007982,f
1988,Kevin,0.010074,m
1988,Kayla,0.006987,f
1988,Kyle,0.009938,m
1988,Michelle,0.006935,f
1988,Brian,0.009755,m
1988,Christina,0.006738,f
1988,Thomas,0.009393,m
1988,Laura,0.006302,f
1988,Steven,0.008925,m
1988,Courtney,0.006265,f
1988,Timothy,0.008396,m
1988,Kimberly,0.006215,f
1988,Adam,0.008223,m
1988,Rebecca,0.006175,f
1988,Jason,0.007943,m
1988,Katherine,0.005798,f
1988,Jacob,0.007931,m
1988,Crystal,0.005254,f
1988,Zachary,0.007929,m
1988,Amy,0.005219,f
1988,Benjamin,0.007586,m
1988,Sara,0.005208,f
1988,Aaron,0.007195,m
1988,Erica,0.004988,f
1988,Richard,0.007065,m
1988,Kelly,0.004636,f
1988,Tyler,0.006667,m
1988,Chelsea,0.00462,f
1988,Alexander,0.00666,m
1988,Mary,0.004426,f
1988,Jeremy,0.006579,m
1988,Andrea,0.004366,f
1988,Jeffrey,0.006193,m
1988,Kristen,0.00436,f
1988,Charles,0.006046,m
1988,Erin,0.004298,f
1988,Sean,0.005888,m
1988,Angela,0.004115,f
1988,Mark,0.005848,m
1988,Whitney,0.004083,f
1988,Stephen,0.005798,m
1988,Katie,0.004037,f
1988,Travis,0.005707,m
1988,Vanessa,0.003909,f
1988,Patrick,0.005692,m
1988,Victoria,0.003787,f
1988,Cody,0.005288,m
1988,Lisa,0.003778,f
1988,Nathan,0.005071,m
1988,Caitlin,0.003767,f
1988,Samuel,0.004776,m
1988,Jamie,0.003736,f
1988,Paul,0.004711,m
1988,Allison,0.003715,f
1988,Scott,0.00467,m
1988,Alyssa,0.003714,f
1988,Dustin,0.004666,m
1988,Lindsey,0.003641,f
1988,Jose,0.004499,m
1988,Alexandra,0.003624,f
1988,Gregory,0.004312,m
1988,Alicia,0.003484,f
1988,Kenneth,0.004279,m
1988,Christine,0.003438,f
1988,Jordan,0.00424,m
1988,Brittney,0.00342,f
1988,Derek,0.004032,m
1988,Jasmine,0.003351,f
1988,Bryan,0.004014,m
1988,Anna,0.003349,f
1988,Jesse,0.003951,m
1988,Kathryn,0.003298,f
1988,Corey,0.00366,m
1988,Shannon,0.003254,f
1988,Bradley,0.003503,m
1988,Lindsay,0.003134,f
1988,Alex,0.003199,m
1988,Kristin,0.003131,f
1988,Cory,0.00313,m
1988,Cassandra,0.002978,f
1988,Jared,0.003102,m
1988,Maria,0.002966,f
1988,Shawn,0.002943,m
1988,Hannah,0.002891,f
1988,Edward,0.002897,m
1988,Jacqueline,0.002885,f
1988,Austin,0.002791,m
1988,Natalie,0.002851,f
1988,Peter,0.002708,m
1988,Kelsey,0.002834,f
1988,Chad,0.002646,m
1988,April,0.002517,f
1988,Marcus,0.002601,m
1988,Jenna,0.002397,f
1988,Shane,0.002583,m
1988,Tara,0.002397,f
1988,Juan,0.002581,m
1988,Kristina,0.00238,f
1988,Cameron,0.002491,m
1988,Catherine,0.002344,f
1988,Keith,0.002471,m
1988,Monica,0.002321,f
1988,Phillip,0.002287,m
1988,Julie,0.00232,f
1988,Antonio,0.002229,m
1988,Holly,0.002193,f
1988,Brett,0.002186,m
1988,Natasha,0.002099,f
1988,Evan,0.002165,m
1988,Krystal,0.002089,f
1988,Donald,0.002162,m
1988,Kathleen,0.002043,f
1988,Luis,0.002161,m
1988,Erika,0.002021,f
1988,Ian,0.002156,m
1988,Patricia,0.001976,f
1988,George,0.002146,m
1988,Morgan,0.001974,f
1988,Ronald,0.002085,m
1988,Cynthia,0.001969,f
1988,Carlos,0.00206,m
1988,Kendra,0.001957,f
1988,Nathaniel,0.002027,m
1988,Meghan,0.001877,f
1988,Vincent,0.002026,m
1988,Leah,0.001849,f
1988,Casey,0.002018,m
1988,Veronica,0.001834,f
1988,Raymond,0.002015,m
1988,Katelyn,0.001825,f
1988,Joel,0.001967,m
1988,Diana,0.001813,f
1988,Christian,0.001963,m
1988,Molly,0.0018,f
1988,Trevor,0.001846,m
1988,Brooke,0.001775,f
1988,Douglas,0.001825,m
1988,Julia,0.001746,f
1988,Victor,0.00181,m
1988,Bethany,0.001701,f
1988,Seth,0.001744,m
1988,Dana,0.00166,f
1988,Taylor,0.001743,m
1988,Brandi,0.00165,f
1988,Wesley,0.001737,m
1988,Casey,0.001638,f
1988,Erik,0.001737,m
1988,Margaret,0.001632,f
1988,Philip,0.001686,m
1988,Leslie,0.001601,f
1988,Mitchell,0.001659,m
1988,Kara,0.001581,f
1988,Derrick,0.001652,m
1988,Brianna,0.001541,f
1988,Craig,0.001651,m
1988,Alexis,0.001509,f
1988,Devin,0.001648,m
