year,name,fraction,sex,rank
2001,Jacob,0.015738,m,1
2001,Emily,0.012655,f,1
2001,Michael,0.014358,m,2
2001,Madison,0.011193,f,2
2001,Matthew,0.012966,m,3
2001,Hannah,0.01046,f,3
2001,Joshua,0.012583,m,4
2001,Ashley,0.008347,f,4
2001,Christopher,0.011184,m,5
2001,Alexis,0.008283,f,5
2001,Nicholas,0.011049,m,6
2001,Sarah,0.008026,f,6
2001,Andrew,0.010839,m,7
2001,Samantha,0.008012,f,7
2001,Joseph,0.010643,m,8
2001,Abigail,0.007478,f,8
2001,Daniel,0.010146,m,9
2001,Elizabeth,0.007468,f,9
2001,William,0.009724,m,10
2001,Olivia,0.00706,f,10
2001,Anthony,0.009544,m,11
2001,Jessica,0.00703,f,11
2001,David,0.009353,m,12
2001,Taylor,0.006915,f,12
2001,Tyler,0.009322,m,13
2001,Emma,0.006721,f,13
2001,John,0.009134,m,14
2001,Alyssa,0.006701,f,14
2001,Ryan,0.008847,m,15
2001,Lauren,0.006455,f,15
2001,Zachary,0.008798,m,16
2001,Grace,0.006105,f,16
2001,Ethan,0.008688,m,17
2001,Kayla,0.006006,f,17
2001,Brandon,0.008655,m,18
2001,Brianna,0.005948,f,18
2001,James,0.008256,m,19
2001,Anna,0.00534,f,19
2001,Alexander,0.008086,m,20
2001,Megan,0.005202,f,20
2001,Dylan,0.007978,m,21
2001,Victoria,0.005141,f,21
2001,Justin,0.007851,m,22
2001,Destiny,0.004922,f,22
2001,Jonathan,0.007807,m,23
2001,Sydney,0.004868,f,23
2001,Christian,0.007473,m,24
2001,Rachel,0.004815,f,24
2001,Austin,0.007235,m,25
2001,Jasmine,0.004524,f,25
2001,Samuel,0.007154,m,26
2001,Jennifer,0.004507,f,26
2001,Benjamin,0.006932,m,27
2001,Julia,0.004464,f,27
2001,Noah,0.006521,m,28
2001,Isabella,0.004461,f,28
2001,Logan,0.006149,m,29
2001,Morgan,0.004412,f,29
2001,Robert,0.006124,m,30
2001,Chloe,0.004129,f,30
2001,Nathan,0.006116,m,31
2001,Kaitlyn,0.004122,f,31
2001,Kevin,0.006091,m,32
2001,Natalie,0.004066,f,32
2001,Thomas,0.005876,m,33
2001,Hailey,0.004055,f,33
2001,Jose,0.005872,m,34
2001,Haley,0.004046,f,34
2001,Cameron,0.005603,m,35
2001,Katherine,0.00398,f,35
2001,Hunter,0.005483,m,36
2001,Nicole,0.003948,f,36
2001,Caleb,0.005404,m,37
2001,Sophia,0.003616,f,37
2001,Gabriel,0.00528,m,38
2001,Alexandra,0.003557,f,38
2001,Jordan,0.005231,m,39
2001,Amanda,0.003517,f,39
2001,Kyle,0.005113,m,40
2001,Mackenzie,0.003503,f,40
2001,Jason,0.004916,m,41
2001,Maria,0.003454,f,41
2001,Aaron,0.004613,m,42
2001,Savannah,0.003401,f,42
2001,Isaiah,0.004151,m,43
2001,Stephanie,0.003337,f,43
2001,Eric,0.004141,m,44
2001,Allison,0.003137,f,44
2001,Elijah,0.004032,m,45
2001,Jenna,0.003103,f,45
2001,Brian,0.004014,m,46
2001,Rebecca,0.00297,f,46
