year,name,fraction,sex,rank
1947,James,0.051016,m,1
1947,Linda,0.054841,f,1
1947,Robert,0.049338,m,2
1947,Mary,0.039435,f,2
1947,John,0.047546,m,3
1947,Patricia,0.028208,f,3
1947,William,0.036065,m,4
1947,Barbara,0.026842,f,4
1947,Richard,0.031506,m,5
1947,Sandra,0.019131,f,5
1947,David,0.031122,m,6
1947,Carol,0.01845,f,6
1947,Michael,0.027188,m,7
1947,Nancy,0.017848,f,7
1947,Thomas,0.024138,m,8
1947,Susan,0.017577,f,8
1947,Charles,0.021951,m,9
1947,Sharon,0.015697,f,9
1947,Larry,0.01881,m,10
1947,Donna,0.012938,f,10
1947,Ronald,0.018787,m,11
1947,Kathleen,0.012155,f,11
1947,Gary,0.016167,m,12
1947,Judith,0.012101,f,12
1947,Donald,0.015212,m,13
1947,Karen,0.011909,f,13
1947,Joseph,0.014812,m,14
1947,Judy,0.011573,f,14
1947,Kenneth,0.013234,m,15
1947,Carolyn,0.01141,f,15
1947,George,0.012876,m,16
1947,Margaret,0.011057,f,16
1947,Dennis,0.012751,m,17
1947,Betty,0.010432,f,17
1947,Paul,0.012271,m,18
1947,Diane,0.009779,f,18
1947,Edward,0.011059,m,19
1947,Shirley,0.009708,f,19
1947,Jerry,0.010115,m,20
1947,Joyce,0.008753,f,20
1947,Stephen,0.008251,m,21
1947,Brenda,0.008707,f,21
1947,Daniel,0.008177,m,22
1947,Janice,0.008477,f,22
1947,Frank,0.007536,m,23
1947,Janet,0.00838,f,23
1947,Steven,0.007284,m,24
1947,Cheryl,0.007641,f,24
1947,Roger,0.006869,m,25
1947,Elizabeth,0.007393,f,25
1947,Terry,0.006866,m,26
1947,Dorothy,0.007014,f,26
1947,Raymond,0.006651,m,27
1947,Gloria,0.006946,f,27
1947,Gerald,0.005786,m,28
1947,Pamela,0.006821,f,28
1947,Bruce,0.005666,m,29
1947,Marilyn,0.006535,f,29
1947,Wayne,0.005473,m,30
1947,Joan,0.006202,f,30
1947,Douglas,0.005328,m,31
1947,Beverly,0.006164,f,31
1947,Lawrence,0.005158,m,32
1947,Martha,0.00586,f,32
1947,Gregory,0.005022,m,33
1947,Cynthia,0.005793,f,33
1947,Walter,0.00496,m,34
1947,Virginia,0.005725,f,34
1947,Harold,0.004793,m,35
1947,Bonnie,0.00562,f,35
1947,Peter,0.004625,m,36
1947,Jane,0.005469,f,36
1947,Jack,0.00458,m,37
1947,Phyllis,0.005053,f,37
1947,Arthur,0.004442,m,38
1947,Helen,0.004939,f,38
1947,Danny,0.004344,m,39
1947,Frances,0.004918,f,39
1947,Carl,0.004333,m,40
1947,Jean,0.004918,f,40
1947,Anthony,0.004314,m,41
1947,Ann,0.004892,f,41
1947,Willie,0.004306,m,42
1947,Peggy,0.004883,f,42
1947,Joe,0.004255,m,43
1947,Connie,0.004755,f,43
1947,Jimmy,0.004241,m,44
1947,Ruth,0.004665,f,44
1947,Alan,0.004211,m,45
1947,Christine,0.004608,f,45
1947,Henry,0.004203,m,46
1947,Catherine,0.00434,f,46
1947,Mark,0.004183,m,47
1947,Alice,0.004317,f,47
1947,Roy,0.004072,m,48
1947,Diana,0.004192,f,48
1947,Johnny,0.004006,m,49
1947,Gail,0.003983,f,49
1947,Ralph,0.003977,m,50
1947,Elaine,0.003884,f,50
1947,Billy,0.003731,m,51
1947,Jo,0.003701,f,51
1947,Timothy,0.003633,m,52
1947,Rebecca,0.003483,f,52
1947,Patrick,0.003564,m,53
1947,Suzanne,0.003427,f,53
1947,Harry,0.003506,m,54
1947,Paula,0.003356,f,54
1947,Albert,0.003478,m,55
1947,Kathryn,0.003351,f,55
1947,Fred,0.003439,m,56
1947,Joanne,0.003335,f,56
1947,Philip,0.003357,m,57
1947,Marie,0.003333,f,57
1947,Steve,0.003354,m,58
1947,Doris,0.003316,f,58
1947,Eugene,0.003326,m,59
1947,Jacqueline,0.003306,f,59
1947,Bobby,0.003294,m,60
1947,Rita,0.003291,f,60
1947,Ronnie,0.003289,m,61
1947,Ellen,0.003221,f,61
1947,Howard,0.003263,m,62
1947,Deborah,0.003211,f,62
1947,Dale,0.003195,m,63
1947,Lois,0.003147,f,63
1947,Louis,0.003112,m,64
1947,Kathy,0.003134,f,64
1947,Mike,0.003095,m,65
1947,Rose,0.003112,f,65
1947,Jeffrey,0.00305,m,66
1947,Wanda,0.003108,f,66
1947,Stanley,0.002962,m,67
1947,Sherry,0.003068,f,67
1947,Barry,0.002946,m,68
1947,Charlotte,0.002963,f,68
1947,Russell,0.002836,m,69
1947,Sue,0.002919,f,69
1947,Leonard,0.002777,m,70
1947,Sally,0.002897,f,70
1947,Glenn,0.002775,m,71
1947,Darlene,0.002891,f,71
1947,Samuel,0.00275,m,72
1947,Evelyn,0.002885,f,72
1947,Allen,0.002732,m,73
1947,Sheila,0.002803,f,73
1947,Ernest,0.002578,m,74
1947,Laura,0.002779,f,74
1947,Phillip,0.002577,m,75
1947,Lynn,0.002747,f,75
1947,Bill,0.002521,m,76
1947,Katherine,0.002687,f,76
1947,Jim,0.002498,m,77
1947,Lynda,0.002662,f,77
1947,Frederick,0.002495,m,78
1947,Geraldine,0.002647,f,78
1947,Tommy,0.002473,m,79
1947,Maria,0.00259,f,79
1947,Eddie,0.002398,m,80
1947,Rosemary,0.002499,f,80
1947,Norman,0.002375,m,81
1947,Marcia,0.00246,f,81
1947,Andrew,0.002339,m,82
1947,Norma,0.002435,f,82
1947,Earl,0.002283,m,83
1947,Dianne,0.002428,f,83
1947,Francis,0.002267,m,84
1947,Lorraine,0.002427,f,84
1947,Melvin,0.002244,m,85
1947,Theresa,0.002415,f,85
1947,Don,0.002156,m,86
1947,Jeanne,0.002401,f,86
1947,Tom,0.002111,m,87
1947,Patsy,0.00239,f,87
1947,Clarence,0.00211,m,88
1947,Marsha,0.002387,f,88
1947,Marvin,0.002031,m,89
1947,Joann,0.002352,f,89
1947,Martin,0.002005,m,90
1947,Roberta,0.002343,f,90
1947,Keith,0.001982,m,91
1947,Eileen,0.002338,f,91
1947,Lee,0.001979,m,92
1947,Anna,0.002332,f,92
1947,Craig,0.00196,m,93
1947,Sarah,0.002323,f,93
1947,Rodney,0.001919,m,94
1947,Anita,0.002303,f,94
1947,Brian,0.001857,m,95
1947,Anne,0.002303,f,95
1947,Alfred,0.001838,m,96
1947,Glenda,0.002286,f,96
1947,Ray,0.00182,m,97
1947,Sylvia,0.002255,f,97
1947,Leroy,0.001802,m,98
1947,Maureen,0.002247,f,98
1947,Curtis,0.001635,m,99
1947,Louise,0.002228,f,99
1947,Bernard,0.001612,m,100
1947,Constance,0.002142,f,100
1947,Clifford,0.001609,m,101
1947,Vicki,0.002129,f,101
1947,Theodore,0.001576,m,102
1947,Carole,0.002105,f,102
1947,Gene,0.001559,m,103
1947,Annie,0.002067,f,103
1947,Herbert,0.001537,m,104
1947,Kay,0.001936,f,104
1947,Vincent,0.00151,m,105
1947,Charlene,0.001912,f,105
1947,Randall,0.001499,m,106
1947,Marjorie,0.001897,f,106
1947,Jesse,0.001482,m,107
1947,Irene,0.001811,f,107
1947,Warren,0.001468,m,108
1947,Janis,0.001763,f,108
1947,Dan,0.001455,m,109
1947,Mildred,0.001715,f,109
1947,Jerome,0.001448,m,110
1947,Juanita,0.001711,f,110
1947,Gordon,0.001437,m,111
1947,Dolores,0.001689,f,111
1947,Lloyd,0.001415,m,112
1947,Ruby,0.001689,f,112
1947,Jimmie,0.0014,m,113
1947,Loretta,0.00165,f,113
1947,Edwin,0.001394,m,114
1947,Marlene,0.001644,f,114
1947,Bob,0.001354,m,115
1947,Delores,0.001631,f,115
1947,Randy,0.001346,m,116
1947,Julia,0.001624,f,116
1947,Leon,0.00134,m,117
1947,Yvonne,0.001603,f,117
1947,Lewis,0.001313,m,118
1947,Arlene,0.001599,f,118
1947,Jay,0.001312,m,119
1947,Cathy,0.001573,f,119
1947,Calvin,0.001309,m,120
1947,June,0.001562,f,120
1947,Victor,0.001269,m,121
1947,Teresa,0.001546,f,121
1947,Eric,0.001262,m,122
1947,Claudia,0.001522,f,122
1947,Jon,0.001242,m,123
1947,Victoria,0.001507,f,123
1947,Leslie,0.001241,m,124
1947,Julie,0.001505,f,124
1947,Darrell,0.00123,m,125
1947,Jeanette,0.001431,f,125
1947,Tony,0.001225,m,126
1947,Andrea,0.00138,f,126
1947,Christopher,0.001224,m,127
1947,Gayle,0.001367,f,127
1947,Clyde,0.001218,m,128
1947,Vivian,0.001366,f,128
1947,Alvin,0.001192,m,129
1947,Georgia,0.001362,f,129
1947,Floyd,0.001191,m,130
1947,Gwendolyn,0.001348,f,130
1947,Harvey,0.001188,m,131
1947,Edna,0.00133,f,131
1947,Allan,0.001177,m,132
1947,Leslie,0.001297,f,132
1947,Joel,0.001154,m,133
1947,Josephine,0.001292,f,133
1947,Vernon,0.001138,m,134
1947,Paulette,0.001284,f,134
1947,Duane,0.001126,m,135
1947,Terry,0.00126,f,135
1947,Jose,0.001125,m,136
1947,Edith,0.00121,f,136
1947,Lonnie,0.001121,m,137
1947,Pauline,0.001198,f,137
1947,Glen,0.001114,m,138
1947,Sara,0.001195,f,138
1947,Scott,0.001092,m,139
1947,Margie,0.001193,f,139
1947,Dean,0.001077,m,140
1947,Annette,0.001179,f,140
1947,Jackie,0.001071,m,141
1947,Emma,0.001178,f,141
1947,Lester,0.001047,m,142
1947,Penny,0.001156,f,142
1947,Nicholas,0.001042,m,143
1947,Lillian,0.001149,f,143
1947,Benjamin,0.00104,m,144
1947,Ethel,0.001146,f,144
1947,Charlie,0.00103,m,145
1947,Jennifer,0.001106,f,145
1947,Gilbert,0.001009,m,146
1947,Audrey,0.001101,f,146
1947,Leo,0.000972,m,147
1947,Lucille,0.001099,f,147
1947,Arnold,0.000968,m,148
1947,Michele,0.001091,f,148
1947,Johnnie,0.000967,m,149
1947,Lynne,0.001084,f,149
1947,Herman,0.000966,m,150
